mode,K,eps,bfrac,lens_KLmax,lens_KLratio,kstar_SIT,dim_v,BASE_micro,SIT_micro,BASE_macro,SIT_macro,dMicro,dMacro,cats_SIT_gt_BASE
full,5,0.01,0.23,0.1916,2.197,0.25,16,0.29745,0.3162,0.19471,0.21173,0.01874,0.01701,10/10
raw_ctx,5,0.07,0.183,0.0759,2.709,0.5,137,0.29745,0.30698,0.19471,0.21555,0.00953,0.02084,5/10
raw_int,5,0.1,0.167,0.1888,1.898,0.25,16,0.29745,0.31775,0.19471,0.21261,0.02029,0.01789,9/10
raw_both,5,0.1,0.098,0.2965,2.777,0.5,137,0.29745,0.32071,0.19471,0.22396,0.02326,0.02924,5/10
