mode,K,eps,bfrac,lens_KLmax,lens_KLratio,kstar_SIT,dim_v,BASE_micro,SIT_micro,BASE_macro,SIT_macro,dMicro,dMacro,cats_SIT_gt_BASE
full,4,0.07,0.212,0.2288,1.769,0.25,15,0.60104,0.62771,0.17627,0.19075,0.02667,0.01447,9/9
raw_ctx,4,0.1,0.06,0.1098,1.504,0.1,161,0.60104,0.61169,0.17627,0.18347,0.01065,0.00719,9/9
raw_int,4,0.1,0.115,0.2165,1.391,0.25,15,0.60104,0.61741,0.17627,0.18008,0.01638,0.0038,6/9
raw_both,4,0.1,0.153,0.1864,1.803,0.25,161,0.60104,0.61957,0.17627,0.1918,0.01853,0.01552,9/9
