city,method,dominant_share,macro_active,micro,macro
yelp,BASE,0.8367,17,0.81915,0.08772
yelp,SIT,0.8367,17,0.8284,0.07815
yelp,Steck-b,0.8367,17,0.81889,0.08851
yelp,SIT_minus_BASE,0.8367,17,0.00925,-0.00957
