city,backbone,sat,kstar,BASE_micro,BASE_macro,SIT_micro,SIT_macro,dMacro,BASE_micro_csv
saopaulo,B_blind,0.2505,0.25,0.36483,0.18271,0.40045,0.20535,0.02263,0.36483
saopaulo,B_full,0.2505,0.1,0.47233,0.36667,0.47554,0.3698,0.00314,0.47233
saopaulo,EASE,0.2505,0.05,0.36887,0.18223,0.39862,0.21545,0.03322,0.36887
saopaulo,SASRec,0.2505,0.25,0.41943,0.28298,0.43222,0.29014,0.00716,0.41943
saopaulo,FPMC,0.2505,0.25,0.41108,0.2674,0.42621,0.27923,0.01184,0.41108
saopaulo,DeepFM,0.2505,0.25,0.3828,0.19274,0.38795,0.20132,0.00859,0.3828
saopaulo,AFM,0.2505,0.5,0.35168,0.18654,0.40748,0.23891,0.05236,0.35168
