city,backbone,sat,kstar,BASE_micro,BASE_macro,SIT_micro,SIT_macro,dMacro,BASE_micro_csv
ml1m,B_blind,0.2768,0.5,0.35962,0.12648,0.38479,0.14032,0.01384,0.35962
ml1m,B_full,0.2768,0.25,0.42914,0.23485,0.438,0.23866,0.00381,0.42912
ml1m,EASE,0.2768,0.1,0.37558,0.12947,0.40115,0.14229,0.01282,0.37558
ml1m,SASRec,0.2768,0.05,0.52544,0.34314,0.52475,0.34447,0.00133,0.52544
ml1m,FPMC,0.2768,0.25,0.47581,0.29039,0.47955,0.29667,0.00628,0.47581
ml1m,DeepFM,0.2768,0.1,0.43116,0.2277,0.4403,0.23252,0.00482,0.43116
ml1m,AFM,0.2768,0.25,0.43093,0.21041,0.44046,0.22016,0.00974,0.43093
