mode,K,eps,bfrac,lens_KLmax,lens_KLratio,kstar_SIT,dim_v,BASE_micro,SIT_micro,BASE_macro,SIT_macro,dMicro,dMacro,cats_SIT_gt_BASE
full,6,0.01,0.348,0.1977,2.459,0.1,48,0.27925,0.27958,0.07836,0.07857,0.00032,0.00022,19/43
raw_ctx,3,0.07,0.363,0.0169,1.251,0.05,127,0.27925,0.2792,0.07836,0.07821,-5e-05,-0.00015,16/43
raw_int,9,0.1,0.155,0.1771,3.61,0.1,48,0.27925,0.28151,0.07836,0.07881,0.00226,0.00045,22/43
raw_both,3,0.01,0.0,0.0169,1.251,0.05,127,0.27925,0.27898,0.07836,0.07837,-0.00027,1e-05,20/43
