mode,K,eps,bfrac,lens_KLmax,lens_KLratio,kstar_SIT,dim_v,BASE_micro,SIT_micro,BASE_macro,SIT_macro,dMicro,dMacro,cats_SIT_gt_BASE
full,8,0.02,0.257,0.5176,2.718,0.5,16,0.28032,0.34162,0.20377,0.24709,0.06131,0.04331,6/10
raw_ctx,5,0.1,0.105,0.0692,2.737,0.5,155,0.28032,0.28123,0.20377,0.21688,0.00092,0.01311,4/10
raw_int,8,0.05,0.147,0.2587,1.784,0.5,16,0.28032,0.33438,0.20377,0.24459,0.05406,0.04081,7/10
raw_both,8,0.1,0.207,0.3158,2.664,0.75,155,0.28032,0.33418,0.20377,0.23893,0.05386,0.03516,7/10
