seed,backbone,method,kstar,CatMRR,CatNDCG,R20,NDCG20,JS,LT20,Coverage,Gini,lensKLmax,n_sink
42,B_blind,BASE,,0.37772800451156924,0.4691063508450651,0.08904105574197461,0.04004956731930934,0.23966251617446852,0.018318945964489915,0.20154291224686596,0.9649850007434537,2.027468796458958,1
42,B_blind,SIT,0.25,0.3945278885026961,0.48007899533196885,0.08915858525640452,0.0404332064433814,0.24413394105225775,0.02016599349600929,0.22391513982642236,0.9627357915098913,1.7133468510091625,2
42,B_blind,Steck-b,0.5,0.4165610619283422,0.5030494692947942,0.08811558135447452,0.039363788851305086,0.15826042386506534,0.028636697988602394,0.2403085824493732,0.9560762066200947,1.6429248465587136,1
42,B_blind,UNI_mean,0.05,0.3769994480585151,0.46828353819740054,0.08896850542406809,0.03999196267589671,0.23990668675997567,0.018301726765184843,0.20077145612343297,0.96510637808913,1.9530806390385587,1
42,B_blind,UNI_glob,2.0,0.39847135559781705,0.4998013675431872,0.07918882340280654,0.03671250483194311,0.21261120460569066,0.5377789522044888,0.39922854387656703,0.8996447721387371,2.6458584888243633,1
42,B_full,BASE,,0.4473809844613697,0.5105086060515018,0.07621496642817169,0.034803352954896435,0.2849214991576447,0.02331136958737743,0.18322082931533268,0.9814646556604814,3.6679369622330333,1
42,B_full,SIT,0.1,0.44902924613754785,0.5107161800378403,0.07634481958866876,0.034883638074213075,0.28841169227333735,0.023722334791326207,0.18611378977820636,0.9812648756058884,3.496094012024667,1
42,B_full,Steck-b,0.5,0.45896721104675786,0.5189158512265547,0.07368017793214664,0.03371658375633819,0.2521084829878845,0.032551198891490704,0.23297974927675988,0.9757747762044859,3.4426920146269664,1
42,B_full,UNI_mean,0.05,0.44704710226143685,0.5100826645057405,0.0760876053975124,0.03481174517704678,0.28494497510633715,0.023209202257781707,0.18225650916104147,0.9815075652062946,3.6648750859819446,1
42,B_full,UNI_glob,2.0,0.45294513076228005,0.5203636847778335,0.05850697151095776,0.0284003717585263,0.28554372884129364,0.45155547022269055,0.3855351976856316,0.9531234010099106,3.593828270887898,1
42,B_blind,Steck-a,,0.5724042497743063,0.6610456961503761,0.08187980386125333,0.034630454860166464,,0.0,0.0,0.0,,0
43,B_blind,BASE,,0.37772800451156924,0.4691063508450651,0.08904105574197461,0.04004956731930934,0.23966251617446852,0.018318945964489915,0.20154291224686596,0.9649850007434537,1.8354521962428993,1
43,B_blind,SIT,0.25,0.3882452163057784,0.4772790125660963,0.09022931275604604,0.04052894901973907,0.23539706735392113,0.01965630471229824,0.2219864995178399,0.9635317864772541,2.741521430144224,1
43,B_blind,Steck-b,0.75,0.4086039467473554,0.4951716651170282,0.0875114258383994,0.038719766802622985,0.16253551362515561,0.03128156897357297,0.274831243972999,0.9538513635401966,2.099674937362785,1
43,B_blind,UNI_mean,2.0,0.3794462146360556,0.46181117032662505,0.0885805865078084,0.03960113143268739,0.25127432990145027,0.019927220387574683,0.20250723240115717,0.9666072061610929,2.5308878047017647,1
43,B_blind,UNI_glob,2.0,0.39847135559781705,0.4998013675431872,0.07918882340280654,0.03671250483194311,0.21261120460569066,0.5377789522044888,0.39922854387656703,0.8996447721387371,2.0408012015432555,2
43,B_full,BASE,,0.44779536265846315,0.5143876450860986,0.07630339903747856,0.035272978099743946,0.2727913749701951,0.034451052009979305,0.26248794599807135,0.9767237379950378,1.8424658607110025,1
43,B_full,SIT,0.25,0.449385120495846,0.5142612442362778,0.07571400954442656,0.03503803433238227,0.2755292255880499,0.0350629080213358,0.2675024108003857,0.9759441672003093,2.2141996794660046,1
43,B_full,Steck-b,0.5,0.4558344226650083,0.5197194103392098,0.07437157427159134,0.034420926942988476,0.2490043484380294,0.0429825977337538,0.29932497589199614,0.9718414768896588,1.9166029575339791,1
43,B_full,UNI_mean,0.05,0.44764398972271674,0.5140945444125027,0.07624018776068274,0.03526513645249421,0.2730922718506173,0.034433832799897604,0.26210221793635485,0.9767602814691922,1.837534296685714,1
43,B_full,UNI_glob,2.0,0.45550129881335066,0.5270534750586253,0.05921991593303577,0.028644520937543695,0.26610407183480234,0.4717800085035033,0.5215043394406943,0.9349478324847749,1.7328616998157123,1
43,B_blind,Steck-a,,0.5724042497743063,0.6610456961503761,0.08187980386125333,0.034630454860166464,,0.0,0.0,0.0,,0
44,B_blind,BASE,,0.37772800451156924,0.4691063508450651,0.08904105574197461,0.04004956731930934,0.23966251617446852,0.018318945964489915,0.20154291224686596,0.9649850007434537,2.027468796458958,1
44,B_blind,SIT,0.25,0.3942576054203266,0.47982663826182875,0.08914727610956656,0.040435410154502936,0.24417070974130387,0.02018206475954477,0.22391513982642236,0.9627420371411597,1.7447855130299221,1
44,B_blind,Steck-b,0.5,0.41643849596107574,0.5029592375879971,0.08811558135447452,0.03936536683769236,0.15837262149679152,0.02862866235585107,0.24011571841851495,0.956090827729239,1.6332156244420168,1
44,B_blind,UNI_mean,0.05,0.37699976693281223,0.46828386960710594,0.08896850542406809,0.039991877564441676,0.23991010954897596,0.018301726765184843,0.20077145612343297,0.9651063413370993,1.9560298911529261,1
44,B_blind,UNI_glob,2.0,0.39847135559781705,0.4998013675431872,0.07918882340280654,0.03671250483194311,0.21261120460569066,0.5377789522044888,0.39922854387656703,0.8996447721387371,2.645858488824363,1
44,B_full,BASE,,0.44436146966367396,0.5110217618568939,0.07406434228854125,0.0343565854904119,0.2717009355497524,0.030422904294756328,0.26229508196721313,0.9774797595938964,3.6739768913477318,1
44,B_full,SIT,0.25,0.44662176356113054,0.5103328264171914,0.07460248473752285,0.03461104299139851,0.2797952423923005,0.03146983241900666,0.26846673095467694,0.9766874531134859,3.2181117855570425,1
44,B_full,Steck-b,0.5,0.4553939311433693,0.5184907548563072,0.07241250716554712,0.0335278159766248,0.24099223799676484,0.04303999510357225,0.31822565091610416,0.9702159062258207,3.4633644007148345,1
44,B_full,UNI_mean,0.05,0.4434939374236498,0.5101523459938851,0.07424052333077676,0.03439413256440183,0.2717985667507568,0.030305813650993788,0.26152362584378014,0.9775616900549802,3.6706352334570536,1
44,B_full,UNI_glob,2.0,0.4519216657987594,0.5240237193515928,0.05954551463228241,0.028584516410004777,0.2640352323372257,0.45720451942824025,0.5091610414657667,0.9359730166589428,3.6051390035305055,1
44,B_blind,Steck-a,,0.5724042497743063,0.6610456961503761,0.08187980386125333,0.034630454860166464,,0.0,0.0,0.0,,0
45,B_blind,BASE,,0.37772800451156924,0.4691063508450651,0.08904105574197461,0.04004956731930934,0.23966251617446852,0.018318945964489915,0.20154291224686596,0.9649850007434537,2.0274687964589586,1
45,B_blind,SIT,0.25,0.3945278885026961,0.48007899533196885,0.08915858525640452,0.0404332064433814,0.24413394105225775,0.02016599349600929,0.22391513982642236,0.9627357915098913,1.7133468510091625,2
45,B_blind,Steck-b,0.5,0.4165610619283422,0.5030494692947942,0.08811558135447452,0.039363788851305086,0.15826042386506534,0.028636697988602394,0.2403085824493732,0.9560762066200947,1.6429248465587136,1
45,B_blind,UNI_mean,0.05,0.3769994480585151,0.46828353819740054,0.08896850542406809,0.03999196267589671,0.23990668675997567,0.018301726765184843,0.20077145612343297,0.96510637808913,1.953080639038559,1
45,B_blind,UNI_glob,2.0,0.39847135559781705,0.4998013675431872,0.07918882340280654,0.03671250483194311,0.21261120460569066,0.5377789522044888,0.39922854387656703,0.8996447721387371,2.6458584888243637,1
45,B_full,BASE,,0.445421058409399,0.5125979446837104,0.07465120875265817,0.03454459904459913,0.2702149496481523,0.03070644730241385,0.26210221793635485,0.9769284135972596,3.6606738088322763,1
