city,method,dominant_share,macro_active,micro,macro
kuairand,BASE,0.2423,43,0.27786,0.07623
kuairand,SIT,0.2423,43,0.27815,0.07666
kuairand,Steck-b,0.2423,43,0.2834,0.08154
kuairand,SIT_minus_BASE,0.2423,43,0.00029,0.00043
