city,seed,backbone,group,n_requests,n_cats_supported,macroCatMRR_sit,macroCatMRR_steck,delta,ci_lo,ci_hi,kappa_sit,kappa_steck
nyc_tist,42,AFM,ON-PRIOR,6399,8,0.436435,0.733878,-0.297442,-0.317529,-0.275321,1.0,1.5
nyc_tist,42,AFM,OFF-PRIOR,11303,9,0.185531,0.212588,-0.027057,-0.038896,-0.015197,1.0,1.5
nyc_tist,42,SASRec,ON-PRIOR,6399,8,0.471915,0.649284,-0.177369,-0.194241,-0.160725,0.25,0.5
nyc_tist,42,SASRec,OFF-PRIOR,11303,9,0.269975,0.256101,0.013874,0.00707,0.020364,0.25,0.5
nyc_tist,43,B_blind,ON-PRIOR,6399,8,0.418883,0.693735,-0.274852,-0.297775,-0.250895,0.5,1.0
nyc_tist,43,B_blind,OFF-PRIOR,11303,9,0.218132,0.203937,0.014195,0.004675,0.023742,0.5,1.0
nyc_tist,43,EASE,ON-PRIOR,6399,8,0.427724,0.720801,-0.293077,-0.313963,-0.273743,0.1,0.1
nyc_tist,43,EASE,OFF-PRIOR,11303,9,0.171212,0.193505,-0.022293,-0.033591,-0.011153,0.1,0.1
nyc_tist,43,AFM,ON-PRIOR,6399,8,0.413759,0.710332,-0.296573,-0.317944,-0.272387,1.0,1.5
nyc_tist,43,AFM,OFF-PRIOR,11303,9,0.18118,0.205708,-0.024528,-0.035942,-0.013595,1.0,1.5
nyc_tist,43,SASRec,ON-PRIOR,6399,8,0.475423,0.633761,-0.158338,-0.17287,-0.14437,0.25,0.5
nyc_tist,43,SASRec,OFF-PRIOR,11303,9,0.270239,0.25498,0.015258,0.008903,0.021613,0.25,0.5
nyc_tist,44,B_blind,ON-PRIOR,6399,8,0.418044,0.711268,-0.293224,-0.314055,-0.270785,0.5,1.0
nyc_tist,44,B_blind,OFF-PRIOR,11303,9,0.221378,0.205032,0.016346,0.006548,0.026736,0.5,1.0
nyc_tist,44,EASE,ON-PRIOR,6399,8,0.44659,0.726452,-0.279863,-0.298873,-0.259363,0.1,0.1
nyc_tist,44,EASE,OFF-PRIOR,11303,9,0.180955,0.196444,-0.015489,-0.027141,-0.003467,0.1,0.1
nyc_tist,44,AFM,ON-PRIOR,6399,8,0.445232,0.737754,-0.292522,-0.315016,-0.269036,1.0,1.5
nyc_tist,44,AFM,OFF-PRIOR,11303,9,0.187909,0.213077,-0.025168,-0.037075,-0.013404,1.0,1.5
nyc_tist,44,SASRec,ON-PRIOR,6399,8,0.478363,0.654691,-0.176328,-0.192357,-0.16004,0.25,0.5
nyc_tist,44,SASRec,OFF-PRIOR,11303,9,0.272289,0.253992,0.018296,0.011472,0.025126,0.25,0.5
nyc_tist,45,B_blind,ON-PRIOR,6399,8,0.408839,0.716039,-0.3072,-0.326783,-0.287919,0.5,1.0
nyc_tist,45,B_blind,OFF-PRIOR,11303,9,0.221669,0.203732,0.017936,0.008543,0.027453,0.5,1.0
nyc_tist,45,EASE,ON-PRIOR,6399,8,0.399149,0.735679,-0.33653,-0.353947,-0.317219,0.05,0.1
nyc_tist,45,EASE,OFF-PRIOR,11303,9,0.200292,0.194944,0.005348,-0.005641,0.016691,0.05,0.1
nyc_tist,45,AFM,ON-PRIOR,6399,8,0.429603,0.754323,-0.324721,-0.348161,-0.301074,1.0,1.5
nyc_tist,45,AFM,OFF-PRIOR,11303,9,0.190219,0.210801,-0.020581,-0.032744,-0.008532,1.0,1.5
nyc_tist,45,SASRec,ON-PRIOR,6399,8,0.468818,0.655594,-0.186777,-0.20167,-0.17109,0.25,0.5
nyc_tist,45,SASRec,OFF-PRIOR,11303,9,0.275777,0.253326,0.022451,0.016056,0.028814,0.25,0.5
nyc_tist,46,B_blind,ON-PRIOR,6399,8,0.401513,0.668132,-0.26662,-0.289812,-0.244,0.5,1.0
nyc_tist,46,B_blind,OFF-PRIOR,11303,9,0.222143,0.204017,0.018126,0.009356,0.026686,0.5,1.0
nyc_tist,46,EASE,ON-PRIOR,6399,8,0.424119,0.695645,-0.271526,-0.290876,-0.253236,0.1,0.1
nyc_tist,46,EASE,OFF-PRIOR,11303,9,0.184811,0.194298,-0.009487,-0.020289,0.001773,0.1,0.1
nyc_tist,46,AFM,ON-PRIOR,6399,8,0.441884,0.746893,-0.305008,-0.329553,-0.281422,2.0,2.0
nyc_tist,46,AFM,OFF-PRIOR,11303,9,0.18229,0.200697,-0.018406,-0.030383,-0.006542,2.0,2.0
nyc_tist,46,SASRec,ON-PRIOR,6399,8,0.47318,0.623883,-0.150703,-0.16647,-0.137268,0.25,0.5
nyc_tist,46,SASRec,OFF-PRIOR,11303,9,0.274737,0.254739,0.019998,0.014464,0.025416,0.25,0.5
saopaulo,42,B_blind,ON-PRIOR,9297,8,0.294659,0.667444,-0.372785,-0.38313,-0.329026,0.25,0.75
saopaulo,42,B_blind,OFF-PRIOR,14524,10,0.175785,0.15598,0.019805,0.014321,0.025183,0.25,0.75
saopaulo,42,EASE,ON-PRIOR,9297,8,0.349581,0.630362,-0.280781,-0.293084,-0.268109,0.05,0.05
saopaulo,42,EASE,OFF-PRIOR,14524,10,0.171016,0.158203,0.012813,0.003257,0.021729,0.05,0.05
saopaulo,42,AFM,ON-PRIOR,9297,8,0.374404,0.76729,-0.392886,-0.404434,-0.374448,0.5,1.0
saopaulo,42,AFM,OFF-PRIOR,14524,10,0.201074,0.193482,0.007592,-0.002941,0.016909,0.5,1.0
saopaulo,42,SASRec,ON-PRIOR,9297,8,0.458145,0.681723,-0.223578,-0.233109,-0.211634,0.25,0.5
saopaulo,42,SASRec,OFF-PRIOR,14524,10,0.238599,0.223947,0.014652,0.009254,0.01961,0.25,0.5
saopaulo,43,B_blind,ON-PRIOR,9297,8,0.288284,0.638547,-0.350263,-0.360367,-0.308649,0.25,0.75
saopaulo,43,B_blind,OFF-PRIOR,14524,10,0.168873,0.155698,0.013175,0.008135,0.018195,0.25,0.75
saopaulo,43,EASE,ON-PRIOR,9297,8,0.33406,0.609496,-0.275436,-0.287492,-0.263381,0.05,0.05
saopaulo,43,EASE,OFF-PRIOR,14524,10,0.16317,0.162045,0.001125,-0.010017,0.011144,0.05,0.05
saopaulo,43,AFM,ON-PRIOR,9297,8,0.361906,0.752331,-0.390425,-0.401327,-0.37458,0.5,1.0
saopaulo,43,AFM,OFF-PRIOR,14524,10,0.193372,0.191757,0.001616,-0.008139,0.010286,0.5,1.0
saopaulo,43,SASRec,ON-PRIOR,9297,8,0.451639,0.67206,-0.220421,-0.231033,-0.21101,0.25,0.5
saopaulo,43,SASRec,OFF-PRIOR,14524,10,0.236267,0.2247,0.011566,0.006776,0.016761,0.25,0.5
