mode,K,eps,bfrac,lens_KLmax,lens_KLratio,kstar_SIT,dim_v,BASE_micro,SIT_micro,BASE_macro,SIT_macro,dMicro,dMacro,cats_SIT_gt_BASE
full,3,0.01,0.134,0.097,1.993,0.05,20,0.35229,0.35143,0.20575,0.20835,-0.00086,0.0026,11/14
raw_ctx,3,0.01,0.0,0.1232,1.526,0.05,70,0.35229,0.35225,0.20575,0.20586,-4e-05,0.00011,9/14
raw_int,6,0.07,0.203,0.125,2.86,0.1,20,0.35229,0.35349,0.20575,0.2059,0.0012,0.00015,6/14
raw_both,3,0.01,0.0,0.1232,1.526,0.05,70,0.35229,0.35225,0.20575,0.20586,-4e-05,0.00011,9/14
