mode,K,eps,bfrac,lens_KLmax,lens_KLratio,kstar_SIT,dim_v,BASE_micro,SIT_micro,BASE_macro,SIT_macro,dMicro,dMacro,cats_SIT_gt_BASE
full,7,0.02,0.197,0.352,1.631,1.5,15,0.21083,0.3066,0.17035,0.28662,0.09577,0.11627,7/9
raw_ctx,7,0.1,0.151,0.2323,4.242,0.75,1235,0.21083,0.22926,0.17035,0.19166,0.01842,0.02131,7/9
raw_int,7,0.1,0.065,0.3179,1.586,1.5,15,0.21083,0.30892,0.17035,0.27424,0.09809,0.10389,7/9
raw_both,7,0.1,0.266,0.2921,2.727,1.0,1235,0.21083,0.26085,0.17035,0.24412,0.05002,0.07377,8/9
