seed,backbone,method,kstar,CatMRR,CatNDCG,R20,NDCG20,JS,LT20,Coverage,Gini,lensKLmax,n_sink
42,B_blind,BASE,,0.7478521705659756,0.7654431687768602,0.0655363527424868,0.026274261307815048,0.09844821386991028,0.03994615526832814,0.292098345446111,0.9286131083023468,2.706380032944337,1
42,B_blind,SIT,0.5,0.7542234547089142,0.7674409474002357,0.06547595596219277,0.026369145057123424,0.1021186445335472,0.038234254790950814,0.3084892531312819,0.9290023881126837,2.532357769196948,1
42,B_blind,Steck-b,0.05,0.7476890303274759,0.7655114090725154,0.06555089912800093,0.026281978000813395,0.09536488755716005,0.040082128295737936,0.29395391990103603,0.9284667284126185,2.7056197962173387,1
42,B_blind,UNI_mean,0.05,0.7474337315706135,0.7652881395001261,0.06556835479061787,0.026278550955912874,0.09840043430535898,0.040071250454955354,0.2925622390598423,0.9285421168017813,2.7072146001986757,1
42,B_blind,UNI_glob,0.05,0.7480970639189491,0.76566811569723,0.0654891914863258,0.02626348600889861,0.09840071353313293,0.043805069709211886,0.299366012061234,0.9275984581353045,2.7072016164472594,1
42,B_full,BASE,,0.7519763305164462,0.7650182218860677,0.04484114172463192,0.01827531270768051,0.11314151268461185,0.004870553739124967,0.05736817689809803,0.9947575438051801,2.448261253099148,1
42,B_full,SIT,0.05,0.7513628728794723,0.7642297216423046,0.044894349170312486,0.018292137324376876,0.11443084537312867,0.0051411400546783675,0.05783207051182929,0.9947203165907812,2.431534142820773,1
42,B_full,Steck-b,0.05,0.7516739196636221,0.7649648109592964,0.044581892809469024,0.018243303524363107,0.11096273692082713,0.005156097082360602,0.05829596412556054,0.9947133175649763,2.456661028205928,1
42,B_full,UNI_mean,0.05,0.751891604312647,0.7650676235145241,0.04486441594145452,0.018282932636423624,0.11304412440439576,0.004931741601884864,0.05736817689809803,0.9947458993673308,2.4508018412328245,1
42,B_full,UNI_glob,0.05,0.7519466238262291,0.7649475145774189,0.04486441594145452,0.018278570687637847,0.11341583722710566,0.0057190254015162595,0.05891448894386887,0.9947299635897591,2.4476688304642833,1
42,B_blind,Steck-a,,0.7919231756182546,0.8066172805645108,0.06483085028511269,0.025748385912141115,,0.0,0.0,0.0,,0
43,B_blind,BASE,,0.7478521705659756,0.7654431687768602,0.0655363527424868,0.026274261307815048,0.09844821386991028,0.03994615526832814,0.292098345446111,0.9286131083023468,2.706380032944337,1
43,B_blind,SIT,0.05,0.7473354901058341,0.7653443274668943,0.06552329829394848,0.026256638532723652,0.09832590020028972,0.04007125040784723,0.29673728158342355,0.928408731198066,2.6853098694028836,1
43,B_blind,Steck-b,0.05,0.7476254949315431,0.7655310475221836,0.0655004648766869,0.02625887542474666,0.09619388188095421,0.04002365988344813,0.2941085511056131,0.9284884664347262,2.7047513612924337,1
43,B_blind,UNI_mean,0.05,0.7476842021603574,0.765421357821205,0.06557126406772071,0.026280193036019056,0.09843434989750736,0.04004541558162777,0.2925622390598423,0.9285407396202439,2.7056969520066763,1
43,B_blind,UNI_glob,0.05,0.7480970639189491,0.76566811569723,0.0654891914863258,0.02626348600889861,0.09840071353313293,0.043805069709211886,0.299366012061234,0.9275984581353045,2.7072016164472594,1
43,B_full,BASE,,0.7466723691107204,0.7624113835183164,0.04531554893821503,0.018336391929787567,0.11031723894935426,0.0047876101986496075,0.05365702798824803,0.994761055092459,2.452468352833023,1
