mode,K,eps,bfrac,lens_KLmax,lens_KLratio,kstar_SIT,dim_v,BASE_micro,SIT_micro,BASE_macro,SIT_macro,dMicro,dMacro,cats_SIT_gt_BASE
full,4,0.03,0.173,0.2696,1.558,0.25,16,0.36483,0.40045,0.18271,0.20535,0.03562,0.02263,9/10
raw_ctx,5,0.1,0.221,0.217,1.995,0.25,130,0.36483,0.37611,0.18271,0.19418,0.01128,0.01147,8/10
raw_int,5,0.1,0.273,0.4866,2.123,0.25,16,0.36483,0.38687,0.18271,0.19762,0.02204,0.01491,9/10
raw_both,5,0.1,0.332,0.1627,1.597,0.25,130,0.36483,0.38049,0.18271,0.19258,0.01566,0.00986,9/10
