seed,backbone,method,kstar,CatMRR,CatNDCG,R20,NDCG20,JS,LT20,Coverage,Gini,lensKLmax,n_sink
42,B_blind,BASE,,0.2778619371003631,0.36941860929803916,0.11648948508974988,0.044524763271593104,0.28513474211393575,0.020809013375534077,0.28129762682342696,0.934204715229638,2.9122387855101186,1
42,B_blind,SIT,0.1,0.27815378378607536,0.36871618040926535,0.11607223491345382,0.04439523869408771,0.2878723368169858,0.021003259875935324,0.2880470280862182,0.9336592632888367,2.6431221168493257,1
42,B_blind,Steck-b,0.25,0.2834029396960581,0.3712968950017867,0.1187396011929465,0.04540217811105937,0.22598236378759728,0.030219072634450245,0.31809274983670804,0.9255970905081783,2.970120326044664,1
42,B_blind,UNI_mean,1.5,0.27962781441208523,0.35652911803852494,0.11330906687171176,0.043719911388754785,0.3089725792260923,0.019390540034552553,0.2786849553668626,0.940900537863337,2.673984510858811,1
42,B_blind,UNI_glob,0.05,0.277858230428747,0.3693617007431762,0.11637444783681687,0.044504461145781625,0.28509178537101226,0.02332758526809134,0.286740692357936,0.9336264200492561,2.906644066428041,1
42,B_full,BASE,,0.28342889190893156,0.3737529424758028,0.06706901658437651,0.02615281561240038,0.3247784054605098,0.00589751373914908,0.1439146527324189,0.9798907148629818,2.7877576381550373,1
42,B_full,SIT,0.05,0.2841424403184454,0.37357662833714633,0.06698406387585068,0.02605880066881665,0.32609151801007785,0.005797074077675755,0.14500326583932072,0.9795873580330339,2.6400044797020636,1
42,B_full,Steck-b,0.25,0.2913056750643395,0.37827326800661115,0.0681272147292227,0.02652053247050487,0.263426333157175,0.008956185721576535,0.17591987807533202,0.9760802492211036,2.8056350532060876,1
42,B_full,UNI_mean,2.0,0.2857562758589555,0.36018511362286376,0.06618575899074847,0.02589257209614385,0.340208611510659,0.0038887204983869762,0.13019812758545612,0.9823363475010156,2.04173556360273,1
42,B_full,UNI_glob,0.05,0.28339519721624806,0.3736942072433563,0.06706491414650283,0.026149778115520803,0.3248867903973654,0.00677209683615441,0.14543871108208142,0.9798418312492565,2.786760707603387,1
42,B_blind,Steck-a,,0.3937161942657793,0.4752123545144389,0.11341952688155342,0.04292314014003209,,0.0,0.0,0.0,,0
43,B_blind,BASE,,0.2778619371003631,0.36941860929803916,0.11648948508974988,0.044524763271593104,0.28513474211393575,0.020809013375534077,0.28129762682342696,0.934204715229638,2.9250681809109698,1
43,B_blind,SIT,0.1,0.2784259519944859,0.3689324369467741,0.11610896455254185,0.04438942289558692,0.28769703397816254,0.02102600093237692,0.2878293054648378,0.9336544671856095,2.6965921732573936,1
43,B_blind,Steck-b,0.25,0.2835406332764137,0.3714563865093634,0.11888273781438381,0.04545867135888447,0.22598881390110837,0.03028066299217225,0.3178750272153277,0.9255822078994889,2.991169769056224,1
43,B_blind,UNI_mean,1.5,0.2795642407040523,0.356339791622798,0.1132033523699979,0.04373399741458403,0.3093891202211148,0.01933463493887597,0.2769431743958197,0.940985109205257,2.6477939084820368,1
43,B_blind,UNI_glob,0.05,0.277858230428747,0.3693617007431762,0.11637444783681687,0.044504461145781625,0.28509178537101226,0.02332758526809134,0.286740692357936,0.9336264200492561,2.91927971006752,1
43,B_full,BASE,,0.28128654672591835,0.3714006479014652,0.06666717520418061,0.026652408610561507,0.3321207221447028,0.0010944132977196346,0.09470934030045722,0.9842634724454131,2.7764295842830418,1
43,B_full,SIT,0.05,0.2821201879478283,0.3713888607985504,0.06705731919759836,0.026732780946035987,0.3333292041972247,0.0011408429526062564,0.09623339865011975,0.9839747692292051,2.6752257539091895,1
43,B_full,Steck-b,0.25,0.29379161533305936,0.3813562461716585,0.06787032221627744,0.027181159427093694,0.26727140035739944,0.002295899066679844,0.12715001088613107,0.9812612673767143,2.8187712439271837,1
43,B_full,UNI_mean,2.0,0.2821269698082059,0.35456410128079635,0.06528815197909882,0.0264106123489233,0.3509301276731,0.0006376970992121437,0.09035488787285,0.9862753242832549,1.7926867321392783,1
43,B_full,UNI_glob,0.05,0.28128114704447527,0.371391621780962,0.06666717520418061,0.026652383909271923,0.3321475649129747,0.0013208763091895547,0.09601567602873938,0.9842524910029329,2.7763530951158555,1
43,B_blind,Steck-a,,0.3937161942657793,0.4752123545144389,0.11341952688155342,0.04292314014003209,,0.0,0.0,0.0,,0
44,B_blind,BASE,,0.2778619371003631,0.36941860929803916,0.11648948508974988,0.044524763271593104,0.28513474211393575,0.020809013375534077,0.28129762682342696,0.934204715229638,2.9126745886122674,1
44,B_blind,SIT,0.1,0.27815154310348694,0.36871764381985817,0.11607223491345382,0.04439551831203018,0.28786908154311625,0.02100420741991548,0.2880470280862182,0.9336578014345926,2.643367451449445,1
44,B_blind,Steck-b,0.25,0.28340210250183495,0.3712961633455649,0.1187396011929465,0.04540217811105937,0.22597649306707573,0.030220020178430406,0.31809274983670804,0.9255960961337135,2.9705586046647974,1
44,B_blind,UNI_mean,1.5,0.2796035104789754,0.3565084798249867,0.11330906687171176,0.043720499931052995,0.3089701184862085,0.019401910563302833,0.278902677988243,0.9408931349311189,2.675546064333846,1
44,B_blind,UNI_glob,0.05,0.277858230428747,0.3693617007431762,0.11637444783681687,0.044504461145781625,0.28509178537101226,0.02332758526809134,0.286740692357936,0.9336264200492561,2.907081066636366,1
44,B_full,BASE,,0.2874893162732466,0.37406378749959907,0.06598606022422393,0.026682008960221167,0.33489135885863763,0.00048798515055873055,0.09187894622251253,0.9846994714020874,2.847813867007931,1
44,B_full,SIT,0.05,0.287779267367119,0.37355734750749386,0.06641920928972277,0.026746996657969417,0.33607488750428866,0.0005078835742832758,0.09362072719355541,0.9843830325651777,2.704983037374832,1
44,B_full,Steck-b,0.25,0.3001456121299627,0.38462451093545663,0.06797068716308306,0.027393464350934236,0.26636569704793395,0.0015643951132201142,0.12649684302199,0.9817735856050622,2.8623893187211715,1
44,B_full,UNI_mean,1.5,0.28670045306405556,0.35975989668273695,0.06435059249598213,0.026276224029717014,0.3507562075608242,0.00026815494709112216,0.08643588068800348,0.9863657298388391,2.104573675882172,1
44,B_full,UNI_glob,0.05,0.2874889481725621,0.3740633106081895,0.06597529132480545,0.02667963752597299,0.3349095458123552,0.0006575955227954938,0.09362072719355541,0.9846877332447654,2.847003825825837,1
44,B_blind,Steck-a,,0.3937161942657793,0.4752123545144389,0.11341952688155342,0.04292314014003209,,0.0,0.0,0.0,,0
45,B_blind,BASE,,0.2778619371003631,0.36941860929803916,0.11648948508974988,0.044524763271593104,0.28513474211393575,0.020809013375534077,0.28129762682342696,0.934204715229638,2.9090398490175273,1
45,B_blind,SIT,0.1,0.2780760484436343,0.3686540538615002,0.11614627109695587,0.04439461850160612,0.2879385999099664,0.021027896023584725,0.2882647507075985,0.9336404134973766,2.62871797898548,1
45,B_blind,Steck-b,0.25,0.2834693290159582,0.37131570784994666,0.11873331933495242,0.04539800179102798,0.22577655186510345,0.030248446498329376,0.31809274983670804,0.925558560766991,2.9668783287256075,1
45,B_blind,UNI_mean,1.5,0.2792891579389506,0.35650847371919386,0.11345130608486419,0.043760114779677554,0.30862352628991574,0.01952698636953106,0.27912040060962334,0.9408094032373464,2.6767217532127803,1
45,B_blind,UNI_glob,0.05,0.277858230428747,0.3693617007431762,0.11637444783681687,0.044504461145781625,0.28509178537101226,0.02332758526809134,0.286740692357936,0.9336264200492561,2.9032911534593016,1
45,B_full,BASE,,0.29155605564626036,0.3782200611121053,0.06580330258578507,0.026975172107046794,0.33300767365547834,0.001538811424979234,0.09753973437840191,0.9839331379474157,2.796952728298282,1
45,B_full,SIT,0.05,0.29111350289357996,0.3771105825619841,0.06596193660856942,0.026936020822463352,0.3343580751911721,0.0015549196728537387,0.09928151534944481,0.983607219132207,2.6494105615438297,1
45,B_full,Steck-b,0.25,0.30307301217103083,0.3877859092617034,0.06716702482030742,0.027343159193903097,0.2638865606808941,0.003004661964121562,0.13085129544959723,0.9808721463680923,2.805408974093537,1
45,B_full,UNI_mean,0.75,0.29161326368781926,0.3722679346305555,0.06458266803809905,0.026609163739453205,0.33795877714983125,0.0013246664854631805,0.09405617243631613,0.9847318677920642,2.482042946005597,1
