mode,K,eps,bfrac,lens_KLmax,lens_KLratio,kstar_SIT,dim_v,BASE_micro,SIT_micro,BASE_macro,SIT_macro,dMicro,dMacro,cats_SIT_gt_BASE
full,3,0.05,0.231,0.036,2.659,0.5,26,0.74785,0.75422,0.06895,0.06583,0.00637,-0.00311,5/21
raw_ctx,4,0.01,0.098,0.0058,2.302,0.05,93,0.74785,0.74676,0.06895,0.06974,-0.00109,0.0008,11/21
raw_int,4,0.1,0.19,0.1706,2.923,0.05,26,0.74785,0.74852,0.06895,0.06958,0.00067,0.00063,11/21
raw_both,3,0.1,0.061,0.044,2.665,0.05,93,0.74785,0.74813,0.06895,0.06919,0.00028,0.00025,8/21
