city,config,LT_per_request,LT_per_user,diff_user_minus_request,n_req,n_users,req_per_user_p50,req_per_user_p95
istanbul,blind,0.008799735456705093,0.009659316992237956,0.0008595815355328627,136220,22631,5,14
istanbul,full,0.015583982691168785,0.01269904620110489,-0.002884936490063895,136220,22631,5,14
istanbul,xsage,0.03825245797634125,0.03790578605010439,-0.00034667192623685783,136220,22631,5,14
bangkok,blind,0.03199444338679314,0.02807156463342992,-0.003922878753363217,43556,6316,5,18
bangkok,full,0.08102327585220337,0.06424105608916432,-0.01678221976303905,43556,6316,5,18
bangkok,xsage,0.04698663949966431,0.04010156714684936,-0.00688507235281495,43556,6316,5,18
nyc_tist,blind,0.07518359273672104,0.06686117255789881,-0.008322420178822232,17702,4113,3,10
nyc_tist,full,0.1972404271364212,0.16613295660326932,-0.031107470533151882,17702,4113,3,10
nyc_tist,xsage,0.11425827443599701,0.09738611482732247,-0.01687215960867454,17702,4113,3,10
saopaulo,blind,0.06526803970336914,0.07224118404081928,0.006973144337450138,23821,4395,4,14
saopaulo,full,0.13326267898082733,0.12543377379934778,-0.00782890518147955,23821,4395,4,14
saopaulo,xsage,0.06798204034566879,0.07415833318144766,0.006176292835778863,23821,4395,4,14
tokyo_tist,blind,0.023279493674635887,0.03243715108356662,0.009157657408930736,59561,7160,4,28
tokyo_tist,full,0.03649955987930298,0.031643259230992475,-0.004856300648310503,59561,7160,4,28
tokyo_tist,xsage,0.023279493674635887,0.03243715108356662,0.009157657408930736,59561,7160,4,28
