city,group,cat,n,share
yelp,ON-PRIOR,8,0,0.0
yelp,ON-PRIOR,9,4,0.00014
yelp,ON-PRIOR,10,5,0.00018
yelp,ON-PRIOR,11,0,0.0
yelp,ON-PRIOR,12,0,0.0
yelp,ON-PRIOR,13,0,0.0
yelp,ON-PRIOR,14,0,0.0
yelp,ON-PRIOR,15,1,4e-05
yelp,ON-PRIOR,16,0,0.0
yelp,ON-PRIOR,17,1,4e-05
yelp,ON-PRIOR,18,0,0.0
yelp,ON-PRIOR,19,27846,0.99739
yelp,ON-PRIOR,20,2,7e-05
yelp,OFF-PRIOR,0,592,0.06687
yelp,OFF-PRIOR,1,475,0.05365
yelp,OFF-PRIOR,2,319,0.03603
yelp,OFF-PRIOR,3,1542,0.17418
yelp,OFF-PRIOR,4,9,0.00102
yelp,OFF-PRIOR,5,32,0.00361
yelp,OFF-PRIOR,6,6,0.00068
yelp,OFF-PRIOR,7,2389,0.26985
yelp,OFF-PRIOR,8,281,0.03174
yelp,OFF-PRIOR,9,359,0.04055
yelp,OFF-PRIOR,10,404,0.04563
yelp,OFF-PRIOR,11,28,0.00316
yelp,OFF-PRIOR,12,239,0.027
yelp,OFF-PRIOR,13,10,0.00113
yelp,OFF-PRIOR,14,711,0.08031
yelp,OFF-PRIOR,15,233,0.02632
yelp,OFF-PRIOR,16,1,0.00011
yelp,OFF-PRIOR,17,92,0.01039
yelp,OFF-PRIOR,18,2,0.00023
yelp,OFF-PRIOR,19,180,0.02033
yelp,OFF-PRIOR,20,949,0.1072
yelp,ALL,0,594,0.01615
yelp,ALL,1,482,0.01311
yelp,ALL,2,325,0.00884
yelp,ALL,3,1582,0.04302
yelp,ALL,4,9,0.00024
yelp,ALL,5,32,0.00087
yelp,ALL,6,6,0.00016
yelp,ALL,7,2394,0.0651
yelp,ALL,8,281,0.00764
yelp,ALL,9,363,0.00987
yelp,ALL,10,409,0.01112
yelp,ALL,11,28,0.00076
yelp,ALL,12,239,0.0065
yelp,ALL,13,10,0.00027
yelp,ALL,14,711,0.01934
yelp,ALL,15,234,0.00636
yelp,ALL,16,1,3e-05
yelp,ALL,17,93,0.00253
yelp,ALL,18,2,5e-05
yelp,ALL,19,28026,0.76216
yelp,ALL,20,951,0.02586
kuairand,ON-PRIOR,0,1,8e-05
kuairand,ON-PRIOR,1,1,8e-05
kuairand,ON-PRIOR,2,12,0.00092
kuairand,ON-PRIOR,3,356,0.02738
kuairand,ON-PRIOR,4,0,0.0
kuairand,ON-PRIOR,5,0,0.0
kuairand,ON-PRIOR,6,18,0.00138
kuairand,ON-PRIOR,7,0,0.0
kuairand,ON-PRIOR,8,121,0.00931
kuairand,ON-PRIOR,9,0,0.0
kuairand,ON-PRIOR,10,1,8e-05
kuairand,ON-PRIOR,11,1,8e-05
kuairand,ON-PRIOR,12,163,0.01254
kuairand,ON-PRIOR,13,0,0.0
kuairand,ON-PRIOR,14,0,0.0
kuairand,ON-PRIOR,15,0,0.0
kuairand,ON-PRIOR,16,0,0.0
kuairand,ON-PRIOR,17,10,0.00077
kuairand,ON-PRIOR,18,0,0.0
kuairand,ON-PRIOR,19,1,8e-05
kuairand,ON-PRIOR,20,14,0.00108
kuairand,ON-PRIOR,21,0,0.0
kuairand,ON-PRIOR,22,2314,0.17797
kuairand,ON-PRIOR,23,0,0.0
kuairand,ON-PRIOR,24,0,0.0
kuairand,ON-PRIOR,25,1,8e-05
kuairand,ON-PRIOR,26,0,0.0
kuairand,ON-PRIOR,27,0,0.0
kuairand,ON-PRIOR,28,0,0.0
kuairand,ON-PRIOR,29,9135,0.70258
kuairand,ON-PRIOR,30,10,0.00077
kuairand,ON-PRIOR,31,0,0.0
kuairand,ON-PRIOR,32,0,0.0
kuairand,ON-PRIOR,33,0,0.0
kuairand,ON-PRIOR,34,0,0.0
kuairand,ON-PRIOR,35,321,0.02469
kuairand,ON-PRIOR,36,0,0.0
kuairand,ON-PRIOR,37,0,0.0
kuairand,ON-PRIOR,38,0,0.0
kuairand,ON-PRIOR,39,0,0.0
kuairand,ON-PRIOR,40,150,0.01154
kuairand,ON-PRIOR,41,7,0.00054
kuairand,ON-PRIOR,42,365,0.02807
kuairand,OFF-PRIOR,0,496,0.01247
kuairand,OFF-PRIOR,1,462,0.01162
kuairand,OFF-PRIOR,2,2184,0.05492
kuairand,OFF-PRIOR,3,4433,0.11148
kuairand,OFF-PRIOR,4,201,0.00505
kuairand,OFF-PRIOR,5,136,0.00342
kuairand,OFF-PRIOR,6,1615,0.04061
kuairand,OFF-PRIOR,7,133,0.00334
kuairand,OFF-PRIOR,8,2304,0.05794
kuairand,OFF-PRIOR,9,381,0.00958
kuairand,OFF-PRIOR,10,368,0.00925
kuairand,OFF-PRIOR,11,879,0.0221
kuairand,OFF-PRIOR,12,2303,0.05791
kuairand,OFF-PRIOR,13,270,0.00679
kuairand,OFF-PRIOR,14,181,0.00455
kuairand,OFF-PRIOR,15,6,0.00015
kuairand,OFF-PRIOR,16,202,0.00508
kuairand,OFF-PRIOR,17,907,0.02281
kuairand,OFF-PRIOR,18,288,0.00724
kuairand,OFF-PRIOR,19,243,0.00611
kuairand,OFF-PRIOR,20,858,0.02158
kuairand,OFF-PRIOR,21,568,0.01428
kuairand,OFF-PRIOR,22,2941,0.07396
kuairand,OFF-PRIOR,23,165,0.00415
kuairand,OFF-PRIOR,24,40,0.00101
kuairand,OFF-PRIOR,25,164,0.00412
kuairand,OFF-PRIOR,26,210,0.00528
kuairand,OFF-PRIOR,27,240,0.00604
kuairand,OFF-PRIOR,28,135,0.00339
kuairand,OFF-PRIOR,29,3653,0.09186
kuairand,OFF-PRIOR,30,881,0.02215
kuairand,OFF-PRIOR,31,17,0.00043
kuairand,OFF-PRIOR,32,121,0.00304
kuairand,OFF-PRIOR,33,381,0.00958
kuairand,OFF-PRIOR,34,5,0.00013
kuairand,OFF-PRIOR,35,3017,0.07587
kuairand,OFF-PRIOR,36,438,0.01101
kuairand,OFF-PRIOR,37,47,0.00118
kuairand,OFF-PRIOR,38,59,0.00148
kuairand,OFF-PRIOR,39,3,8e-05
kuairand,OFF-PRIOR,40,1864,0.04687
kuairand,OFF-PRIOR,41,732,0.01841
kuairand,OFF-PRIOR,42,5235,0.13165
kuairand,ALL,0,497,0.00942
kuairand,ALL,1,463,0.00877
kuairand,ALL,2,2196,0.04162
kuairand,ALL,3,4789,0.09076
kuairand,ALL,4,201,0.00381
kuairand,ALL,5,136,0.00258
kuairand,ALL,6,1633,0.03095
kuairand,ALL,7,133,0.00252
kuairand,ALL,8,2425,0.04596
kuairand,ALL,9,381,0.00722
kuairand,ALL,10,369,0.00699
kuairand,ALL,11,880,0.01668
kuairand,ALL,12,2466,0.04673
kuairand,ALL,13,270,0.00512
kuairand,ALL,14,181,0.00343
kuairand,ALL,15,6,0.00011
kuairand,ALL,16,202,0.00383
kuairand,ALL,17,917,0.01738
kuairand,ALL,18,288,0.00546
kuairand,ALL,19,244,0.00462
kuairand,ALL,20,872,0.01653
kuairand,ALL,21,568,0.01076
kuairand,ALL,22,5255,0.09959
kuairand,ALL,23,165,0.00313
kuairand,ALL,24,40,0.00076
kuairand,ALL,25,165,0.00313
kuairand,ALL,26,210,0.00398
kuairand,ALL,27,240,0.00455
kuairand,ALL,28,135,0.00256
kuairand,ALL,29,12788,0.24234
kuairand,ALL,30,891,0.01689
kuairand,ALL,31,17,0.00032
kuairand,ALL,32,121,0.00229
kuairand,ALL,33,381,0.00722
kuairand,ALL,34,5,9e-05
kuairand,ALL,35,3338,0.06326
kuairand,ALL,36,438,0.0083
kuairand,ALL,37,47,0.00089
kuairand,ALL,38,59,0.00112
kuairand,ALL,39,3,6e-05
kuairand,ALL,40,2014,0.03817
kuairand,ALL,41,739,0.014
kuairand,ALL,42,5600,0.10612
