dataset,backbone,metric,method,mean,sd_seed,mean_s42,se_boot,ci_lo,ci_hi,box,delta_l1,ci_l1_lo,ci_l1_hi,p_l1,p_l1_seed,seeds_l1,holm_l1,sig_l1,delta_l2,ci_l2_lo,ci_l2_hi,p_l2,p_l2_seed,seeds_l2,holm_l2,sig_l2,tost_equiv
ml1m,B_blind,CatMRR,BASE,0.35962,0.0,0.35962,0.00119,0.35731,0.36193,,,,,,,,,,,,,,,,,,
ml1m,B_blind,CatMRR,SIT,0.38479,8.1e-06,0.38479,0.00128,0.38223,0.38728,,0.02517,0.02338,0.02686,0.0,0.0,5,,,0.02696,0.02531,0.0287,0.0,0.0,5,,,
ml1m,B_blind,CatMRR,Steck-b,0.35783,1e-07,0.35783,0.00122,0.35544,0.36025,,,,,,,,,,,,,,,,,,
ml1m,B_blind,CatNDCG,BASE,0.45119,0.0,0.45119,0.00115,0.44892,0.45352,,,,,,,,,,,,,,,,,,
ml1m,B_blind,CatNDCG,SIT,0.46631,1.22e-05,0.46632,0.00124,0.46412,0.46887,,0.01513,0.01373,0.01661,0.0,0.0,5,,,0.0174,0.01587,0.01888,0.0,0.0,5,,,
ml1m,B_blind,CatNDCG,Steck-b,0.44891,1e-07,0.44891,0.00119,0.4465,0.45129,,,,,,,,,,,,,,,,,,
ml1m,B_blind,macroCatMRR,BASE,0.12648,0.0,0.12648,0.00086,0.12477,0.12816,,,,,,,,,,,,,,,,,,
ml1m,B_blind,macroCatMRR,SIT,0.14032,4.2e-06,0.14032,0.00103,0.13836,0.14239,winner,0.01385,0.01245,0.01525,0.0,0.0,5,0.0,***,0.01354,0.01223,0.01507,0.0,0.0,5,0.0,***,
ml1m,B_blind,macroCatMRR,Steck-b,0.12678,0.0,0.12678,0.00087,0.12509,0.12845,,,,,,,,,,,,,,,,,,
ml1m,B_blind,MRR,BASE,0.01845,0.0,0.01845,0.00026,0.01797,0.01894,,,,,,,,,,,,,,,,,,
ml1m,B_blind,MRR,SIT,0.01956,1.5e-06,0.01956,0.00026,0.01905,0.02007,,0.00111,0.00082,0.00139,0.0,0.0,5,,,0.00114,0.00086,0.00141,0.0,0.0,5,,,
ml1m,B_blind,MRR,Steck-b,0.01842,0.0,0.01842,0.00026,0.01792,0.01895,,,,,,,,,,,,,,,,,,
ml1m,B_blind,HR5,BASE,0.01852,0.0,0.01852,0.00044,0.01764,0.01934,,,,,,,,,,,,,,,,,,
ml1m,B_blind,HR5,SIT,0.01997,4.6e-06,0.01997,0.00045,0.0191,0.02087,,0.00145,0.00087,0.00209,0.0,0.0,5,,,0.00143,0.00078,0.00204,0.0,0.0,5,,,
ml1m,B_blind,HR5,Steck-b,0.01854,0.0,0.01854,0.00044,0.01772,0.01941,,,,,,,,,,,,,,,,,,
ml1m,B_blind,HR10,BASE,0.03441,0.0,0.03441,0.00058,0.03328,0.03557,,,,,,,,,,,,,,,,,,
ml1m,B_blind,HR10,SIT,0.03627,5.6e-06,0.03627,0.00059,0.03513,0.03742,,0.00186,0.00109,0.00262,0.0,0.0,5,,,0.00184,0.00106,0.00265,0.0,0.0,5,,,
ml1m,B_blind,HR10,Steck-b,0.03443,0.0,0.03443,0.00059,0.03324,0.03554,,,,,,,,,,,,,,,,,,
ml1m,B_blind,HR20,BASE,0.06088,0.0,0.06088,0.00079,0.0594,0.06257,,,,,,,,,,,,,,,,,,
ml1m,B_blind,HR20,SIT,0.06485,9.2e-06,0.06485,0.0008,0.06334,0.06653,,0.00398,0.00296,0.00499,0.0,0.0,5,,,0.00416,0.00315,0.0052,0.0,0.0,5,,,1
ml1m,B_blind,HR20,Steck-b,0.06069,0.0,0.06069,0.00075,0.05917,0.06221,,,,,,,,,,,,,,,,,,
ml1m,B_blind,NDCG5,BASE,0.01146,0.0,0.01146,0.00028,0.01089,0.012,,,,,,,,,,,,,,,,,,
ml1m,B_blind,NDCG5,SIT,0.01229,2.9e-06,0.01229,0.00029,0.0117,0.01286,,0.00083,0.00047,0.00117,0.0,0.0,5,,,0.00085,0.00049,0.0012,0.0,0.0,5,,,
ml1m,B_blind,NDCG5,Steck-b,0.01144,0.0,0.01144,0.00029,0.01088,0.01201,,,,,,,,,,,,,,,,,,
ml1m,B_blind,NDCG10,BASE,0.01653,0.0,0.01653,0.00032,0.01591,0.01714,,,,,,,,,,,,,,,,,,
ml1m,B_blind,NDCG10,SIT,0.01749,2.5e-06,0.01749,0.00032,0.01685,0.01813,,0.00097,0.0006,0.00133,0.0,0.0,5,,,0.00098,0.00063,0.00133,0.0,0.0,5,,,
ml1m,B_blind,NDCG10,Steck-b,0.01652,0.0,0.01652,0.00031,0.01598,0.01714,,,,,,,,,,,,,,,,,,
ml1m,B_blind,NDCG20,BASE,0.02314,0.0,0.02314,0.00033,0.02248,0.0238,,,,,,,,,,,,,,,,,,
ml1m,B_blind,NDCG20,SIT,0.02465,3.2e-06,0.02464,0.00034,0.02398,0.02534,,0.00151,0.00117,0.00185,0.0,0.0,5,,,0.00157,0.00122,0.00193,0.0,0.0,5,,,1
ml1m,B_blind,NDCG20,Steck-b,0.02308,0.0,0.02308,0.00034,0.02242,0.0237,,,,,,,,,,,,,,,,,,
ml1m,B_blind,MRR_u,BASE,0.02986,0.0,0.02986,0.00075,0.02847,0.03137,,,,,,,,,,,,,,,,,,
ml1m,B_blind,MRR_u,SIT,0.0321,1e-06,0.0321,0.00079,0.03062,0.03374,,0.00224,0.00135,0.00312,0.0,0.0,5,,,0.00223,0.00137,0.00316,0.0,0.0,5,,,
ml1m,B_blind,MRR_u,Steck-b,0.02987,0.0,0.02987,0.00073,0.02844,0.03133,,,,,,,,,,,,,,,,,,
ml1m,B_blind,HR5_u,BASE,0.03259,0.0,0.03259,0.00124,0.0302,0.03502,,,,,,,,,,,,,,,,,,
ml1m,B_blind,HR5_u,SIT,0.03533,2.3e-06,0.03533,0.0013,0.03269,0.03787,,0.00274,0.00089,0.00462,0.002667,0.0,5,,,0.00239,0.0006,0.00411,0.009333,0.0,5,,,
ml1m,B_blind,HR5_u,Steck-b,0.03294,0.0,0.03294,0.00126,0.03056,0.03543,,,,,,,,,,,,,,,,,,
ml1m,B_blind,HR10_u,BASE,0.06095,0.0,0.06095,0.00178,0.0574,0.06439,,,,,,,,,,,,,,,,,,
ml1m,B_blind,HR10_u,SIT,0.06421,2.91e-05,0.06418,0.00182,0.06055,0.06784,,0.00325,0.00097,0.00554,0.005333,0.0,5,,,0.00329,0.00111,0.00548,0.004,0.0,5,,,
ml1m,B_blind,HR10_u,Steck-b,0.06092,0.0,0.06092,0.0018,0.05742,0.06441,,,,,,,,,,,,,,,,,,
ml1m,B_blind,HR20_u,BASE,0.10441,0.0,0.10441,0.00219,0.10022,0.10871,,,,,,,,,,,,,,,,,,
ml1m,B_blind,HR20_u,SIT,0.11328,1.98e-05,0.11327,0.0023,0.10884,0.1179,,0.00887,0.00621,0.01152,0.0,0.0,5,,,0.00838,0.00593,0.01114,0.0,0.0,5,,,
ml1m,B_blind,HR20_u,Steck-b,0.1049,0.0,0.1049,0.00229,0.10038,0.10937,,,,,,,,,,,,,,,,,,
ml1m,B_blind,NDCG5_u,BASE,0.02013,0.0,0.02013,0.0008,0.01859,0.02162,,,,,,,,,,,,,,,,,,
ml1m,B_blind,NDCG5_u,SIT,0.022,1.5e-06,0.022,0.00086,0.02033,0.02374,,0.00187,0.00077,0.00302,0.001333,0.0,5,,,0.00177,0.0007,0.0029,0.004,0.0,5,,,
ml1m,B_blind,NDCG5_u,Steck-b,0.02023,0.0,0.02023,0.00081,0.01864,0.02175,,,,,,,,,,,,,,,,,,
ml1m,B_blind,NDCG10_u,BASE,0.02916,0.0,0.02916,0.00089,0.0274,0.03087,,,,,,,,,,,,,,,,,,
ml1m,B_blind,NDCG10_u,SIT,0.03123,8.3e-06,0.03123,0.00095,0.02937,0.03306,,0.00207,0.00102,0.00321,0.0,0.0,5,,,0.00209,0.00096,0.00313,0.0,0.0,5,,,
ml1m,B_blind,NDCG10_u,Steck-b,0.02915,0.0,0.02915,0.00095,0.02728,0.03104,,,,,,,,,,,,,,,,,,
ml1m,B_blind,NDCG20_u,BASE,0.04002,0.0,0.04002,0.00096,0.03823,0.04197,,,,,,,,,,,,,,,,,,
ml1m,B_blind,NDCG20_u,SIT,0.04353,4.9e-06,0.04353,0.00105,0.04155,0.04572,,0.00351,0.00241,0.00453,0.0,0.0,5,,,0.00339,0.00228,0.00441,0.0,0.0,5,,,
ml1m,B_blind,NDCG20_u,Steck-b,0.04014,0.0,0.04014,0.00102,0.03812,0.04219,,,,,,,,,,,,,,,,,,
ml1m,B_blind,Coverage,BASE,0.67178,0.0,0.67178,0.00018,0.67117,0.67178,,,,,,,,,,,,,,,,,,
ml1m,B_blind,Coverage,SIT,0.70798,0.0,0.70798,0.00073,0.70429,0.70706,,0.0362,0.03252,0.03528,0.0,,5,,,0.0319,0.02822,0.03098,0.0,,5,,,
ml1m,B_blind,Coverage,Steck-b,0.67607,0.0,0.67607,0.00021,0.67546,0.67607,,,,,,,,,,,,,,,,,,
ml1m,B_blind,Gini,BASE,0.74515,0.0,0.74515,0.00041,0.74449,0.74609,,,,,,,,,,,,,,,,,,
ml1m,B_blind,Gini,SIT,0.73066,1.1e-05,0.73066,0.00042,0.73002,0.73161,,-0.01448,-0.0148,-0.01416,0.0,0.0,0,,,-0.01229,-0.01258,-0.01196,0.0,0.0,0,,,
ml1m,B_blind,Gini,Steck-b,0.74295,3e-07,0.74295,0.0004,0.7423,0.74388,,,,,,,,,,,,,,,,,,
ml1m,B_blind,LT20,BASE,0.23823,0.0,0.23823000490665436,0.0006,0.237,0.23939,,,,,,,,,,,,,,,,,,
ml1m,B_blind,LT20,SIT,0.25712,1.88e-05,0.2571299970149994,0.00063,0.25586,0.25827,,0.01889,0.01843,0.01935,0.0,0.0,5,,,0.01633,0.01585,0.01682,0.0,0.0,5,,,
ml1m,B_blind,LT20,Steck-b,0.24079,5e-07,0.240789994597435,0.00059,0.2396,0.24188,,,,,,,,,,,,,,,,,,
ml1m,B_blind,JS,BASE,0.12593,0.0,0.12593,0.00016,0.12561,0.12626,,,,,,,,,,,,,,,,,,
ml1m,B_blind,JS,SIT,0.18379,6.2e-06,0.18378,0.00027,0.18326,0.18431,,0.05786,0.05736,0.05834,0.0,0.0,5,,,0.05832,0.05782,0.05879,0.0,0.0,5,,,
ml1m,B_blind,JS,Steck-b,0.12547,3e-07,0.12547,0.00016,0.12515,0.12578,,,,,,,,,,,,,,,,,,
ml1m,B_full,CatMRR,BASE,0.43015,0.0016624,0.42914,0.00136,0.42653,0.43183,,,,,,,,,,,,,,,,,,
ml1m,B_full,CatMRR,SIT,0.43833,0.0011324,0.438,0.00138,0.43522,0.44062,,0.00818,0.0078,0.00996,0.0,1.1e-05,5,,,0.00891,0.00904,0.0113,0.0,1.1e-05,5,,,
ml1m,B_full,CatMRR,Steck-b,0.42942,0.0015906,0.42786,0.0014,0.42512,0.43067,,,,,,,,,,,,,,,,,,
ml1m,B_full,CatNDCG,BASE,0.4937,0.0014489,0.49324,0.00129,0.49059,0.4958,,,,,,,,,,,,,,,,,,
ml1m,B_full,CatNDCG,SIT,0.4958,0.0010861,0.49584,0.00134,0.49318,0.49849,,0.00211,0.00171,0.00354,0.0,0.002059,5,,,0.00307,0.00312,0.00515,0.0,0.000495,5,,,
ml1m,B_full,CatNDCG,Steck-b,0.49274,0.0014243,0.49171,0.00129,0.48929,0.49447,,,,,,,,,,,,,,,,,,
ml1m,B_full,macroCatMRR,BASE,0.23462,0.0011219,0.23485,0.00196,0.23125,0.23886,,,,,,,,,,,,,,,,,,
ml1m,B_full,macroCatMRR,SIT,0.23856,0.0008952,0.23866,0.00198,0.23498,0.2427,winner,0.00395,0.00298,0.00458,0.0,0.000113,5,0.0,***,0.00525,0.0048,0.00652,0.0,4.3e-05,5,0.0,***,
ml1m,B_full,macroCatMRR,Steck-b,0.23332,0.0008437,0.23305,0.00188,0.22953,0.23684,,,,,,,,,,,,,,,,,,
ml1m,B_full,MRR,BASE,0.0271,0.0001105,0.02717,0.00032,0.02654,0.02779,,,,,,,,,,,,,,,,,,
ml1m,B_full,MRR,SIT,0.0276,0.0001135,0.02767,0.00032,0.02706,0.0283,,0.0005,0.00033,0.00066,0.0,0.0,5,,,0.00055,0.0004,0.00075,0.0,1.1e-05,5,,,
ml1m,B_full,MRR,Steck-b,0.02704,8.23e-05,0.02708,0.00033,0.02643,0.02772,,,,,,,,,,,,,,,,,,
ml1m,B_full,HR5,BASE,0.0314,0.0001244,0.03134,0.00056,0.03026,0.03251,,,,,,,,,,,,,,,,,,
ml1m,B_full,HR5,SIT,0.03191,0.0001478,0.03176,0.00057,0.03066,0.03292,,0.00051,-2e-05,0.00086,0.064,0.000364,5,,,0.00064,0.00012,0.00099,0.014667,0.001342,5,,,
ml1m,B_full,HR5,Steck-b,0.03127,9.13e-05,0.0312,0.00055,0.03016,0.03226,,,,,,,,,,,,,,,,,,
ml1m,B_full,HR10,BASE,0.05486,0.0003212,0.055,0.00077,0.05339,0.05648,,,,,,,,,,,,,,,,,,
ml1m,B_full,HR10,SIT,0.05592,0.0001935,0.05566,0.00078,0.05409,0.0572,,0.00105,5e-05,0.0013,0.04,0.001246,5,,,0.00121,0.00012,0.00137,0.024,0.000582,5,,,
ml1m,B_full,HR10,Steck-b,0.05471,0.0002273,0.05491,0.00073,0.05355,0.0563,,,,,,,,,,,,,,,,,,
ml1m,B_full,HR20,BASE,0.09397,0.0005001,0.09417,0.00093,0.09239,0.09593,,,,,,,,,,,,,,,,,,
ml1m,B_full,HR20,SIT,0.0961,0.0002318,0.09624,0.00092,0.09451,0.09803,,0.00214,0.00126,0.00287,0.0,7.8e-05,5,,,0.00245,0.00131,0.00292,0.0,1.3e-05,5,,,1
ml1m,B_full,HR20,Steck-b,0.09365,0.0004109,0.09411,0.00092,0.09234,0.09598,,,,,,,,,,,,,,,,,,
ml1m,B_full,NDCG5,BASE,0.01922,0.0001015,0.01924,0.00036,0.01855,0.01995,,,,,,,,,,,,,,,,,,
ml1m,B_full,NDCG5,SIT,0.01954,9.2e-05,0.01954,0.00037,0.01884,0.02025,,0.00032,8e-05,0.00053,0.004,3.6e-05,5,,,0.00038,0.00016,0.00061,0.0,0.000545,5,,,
ml1m,B_full,NDCG5,Steck-b,0.01916,6.98e-05,0.01915,0.00037,0.01844,0.01988,,,,,,,,,,,,,,,,,,
ml1m,B_full,NDCG10,BASE,0.02673,9.74e-05,0.0268,0.0004,0.02601,0.02759,,,,,,,,,,,,,,,,,,
ml1m,B_full,NDCG10,SIT,0.02722,7.61e-05,0.02719,0.0004,0.02642,0.02798,,0.00049,0.00014,0.00063,0.002667,0.000108,5,,,0.00057,0.00022,0.00071,0.0,5.5e-05,5,,,
ml1m,B_full,NDCG10,Steck-b,0.02665,5.82e-05,0.02672,0.00041,0.02593,0.02751,,,,,,,,,,,,,,,,,,
ml1m,B_full,NDCG20,BASE,0.03653,0.0001713,0.03662,0.0004,0.03579,0.03735,,,,,,,,,,,,,,,,,,
ml1m,B_full,NDCG20,SIT,0.0373,0.0001224,0.03737,0.0004,0.03656,0.03808,,0.00076,0.00051,0.00102,0.0,8e-06,5,,,0.00088,0.00058,0.00109,0.0,1e-06,5,,,1
ml1m,B_full,NDCG20,Steck-b,0.03641,0.0001322,0.03655,0.00041,0.03573,0.03736,,,,,,,,,,,,,,,,,,
ml1m,B_full,MRR_u,BASE,0.0315,6.88e-05,0.0315,0.00069,0.03019,0.03286,,,,,,,,,,,,,,,,,,
ml1m,B_full,MRR_u,SIT,0.03204,8.23e-05,0.03207,0.00069,0.03073,0.03341,,0.00054,0.00028,0.00084,0.0,1e-06,5,,,0.00049,0.00031,0.00086,0.0,0.000178,5,,,
ml1m,B_full,MRR_u,Steck-b,0.03156,6.56e-05,0.0315,0.00068,0.03019,0.03295,,,,,,,,,,,,,,,,,,
ml1m,B_full,HR5_u,BASE,0.03752,0.0003065,0.03719,0.00113,0.03507,0.03938,,,,,,,,,,,,,,,,,,
ml1m,B_full,HR5_u,SIT,0.03817,0.0002417,0.03789,0.00113,0.03569,0.04009,,0.00064,-9e-05,0.00145,0.074667,0.000267,5,,,0.00071,-0.00019,0.0013,0.157333,0.000382,5,,,
ml1m,B_full,HR5_u,Steck-b,0.03746,0.0003145,0.03731,0.00116,0.03504,0.03965,,,,,,,,,,,,,,,,,,
ml1m,B_full,HR10_u,BASE,0.06535,0.0003933,0.06511,0.00154,0.06196,0.06793,,,,,,,,,,,,,,,,,,
ml1m,B_full,HR10_u,SIT,0.06584,0.00053,0.06498,0.00153,0.06174,0.06774,,0.0005,-0.00141,0.00111,0.858667,0.086276,4,,,0.0004,-0.00143,0.00091,0.634667,0.080835,4,,,
ml1m,B_full,HR10_u,Steck-b,0.06545,0.0003452,0.06523,0.00156,0.06212,0.06842,,,,,,,,,,,,,,,,,,
ml1m,B_full,HR20_u,BASE,0.10975,0.0005435,0.11027,0.00204,0.10635,0.11431,,,,,,,,,,,,,,,,,,
ml1m,B_full,HR20_u,SIT,0.11199,0.0003224,0.11245,0.00204,0.10866,0.1166,,0.00224,0.00046,0.00389,0.012,0.000233,5,,,0.00203,4e-05,0.00337,0.046667,0.00026,5,,,
ml1m,B_full,HR20_u,Steck-b,0.10996,0.000603,0.1107,0.00213,0.10663,0.11527,,,,,,,,,,,,,,,,,,
ml1m,B_full,NDCG5_u,BASE,0.02308,0.0001199,0.02296,0.00074,0.02155,0.02439,,,,,,,,,,,,,,,,,,
ml1m,B_full,NDCG5_u,SIT,0.02349,9.58e-05,0.02343,0.00074,0.02205,0.02489,,0.00042,8e-05,0.00083,0.012,3.5e-05,5,,,0.00043,6e-05,0.00084,0.022667,0.000195,5,,,
ml1m,B_full,NDCG5_u,Steck-b,0.02306,0.000135,0.02297,0.00073,0.02153,0.02436,,,,,,,,,,,,,,,,,,
ml1m,B_full,NDCG10_u,BASE,0.03197,0.000149,0.03188,0.00082,0.03027,0.03344,,,,,,,,,,,,,,,,,,
ml1m,B_full,NDCG10_u,SIT,0.03236,0.0001511,0.03213,0.00083,0.0305,0.03374,,0.00039,-0.00022,0.0007,0.317333,0.001514,5,,,0.00035,-0.00019,0.00068,0.257333,0.001467,5,,,
ml1m,B_full,NDCG10_u,Steck-b,0.03201,0.0001399,0.03188,0.00083,0.03021,0.0335,,,,,,,,,,,,,,,,,,
ml1m,B_full,NDCG20_u,BASE,0.04311,0.0001413,0.04321,0.00094,0.04139,0.04509,,,,,,,,,,,,,,,,,,
ml1m,B_full,NDCG20_u,SIT,0.04394,7.26e-05,0.04404,0.00094,0.04226,0.04587,,0.00083,0.00032,0.0013,0.001333,3.1e-05,5,,,0.00076,0.00027,0.00121,0.002667,2.6e-05,5,,,
ml1m,B_full,NDCG20_u,Steck-b,0.04318,0.0001165,0.04329,0.0009,0.04152,0.04503,,,,,,,,,,,,,,,,,,
ml1m,B_full,Coverage,BASE,0.41006,0.0036707,0.40828,0.00168,0.39632,0.40307,,,,,,,,,,,,,,,,,,
ml1m,B_full,Coverage,SIT,0.41344,0.0031834,0.41227,0.0018,0.39969,0.40675,,0.00337,0.00123,0.00521,0.002667,0.006582,5,,,0.00135,-0.00061,0.00368,0.190667,0.012913,5,,,
ml1m,B_full,Coverage,Steck-b,0.41209,0.0031026,0.40982,0.00167,0.39816,0.40491,,,,,,,,,,,,,,,,,,
ml1m,B_full,Gini,BASE,0.9211,0.0006175,0.92109,0.00021,0.92072,0.92151,,,,,,,,,,,,,,,,,,
ml1m,B_full,Gini,SIT,0.91678,0.0005237,0.91683,0.00021,0.91645,0.91726,,-0.00431,-0.00436,-0.00417,0.0,0.0,0,,,-0.0037,-0.00377,-0.00358,0.0,0.0,0,,,
ml1m,B_full,Gini,Steck-b,0.92048,0.0005988,0.9205,0.0002,0.92015,0.9209,,,,,,,,,,,,,,,,,,
ml1m,B_full,LT20,BASE,0.05169,0.0014828,0.052080001682043076,0.00044,0.05125,0.05294,,,,,,,,,,,,,,,,,,
ml1m,B_full,LT20,SIT,0.05649,0.0014315,0.057029999792575836,0.00046,0.05616,0.05794,,0.00481,0.00474,0.00516,0.0,0.0,5,,,0.0046,0.00461,0.00504,0.0,1e-06,5,,,
ml1m,B_full,LT20,Steck-b,0.05189,0.0014408,0.05220000073313713,0.00046,0.05135,0.05316,,,,,,,,,,,,,,,,,,
ml1m,B_full,JS,BASE,0.33617,0.002249,0.3356,0.00054,0.33454,0.33665,,,,,,,,,,,,,,,,,,
ml1m,B_full,JS,SIT,0.37244,0.0021728,0.37154,0.00055,0.37042,0.3726,,0.03626,0.03532,0.03654,0.0,0.0,5,,,0.04119,0.04009,0.04136,0.0,0.0,5,,,
ml1m,B_full,JS,Steck-b,0.33125,0.0021907,0.33083,0.00053,0.32978,0.33185,,,,,,,,,,,,,,,,,,
ml1m,EASE,CatMRR,BASE,0.37545,0.0,0.37545,0.00119,0.37316,0.37771,,,,,,,,,,,,,,,,,,
ml1m,EASE,CatMRR,SIT,0.40099,4e-06,0.401,0.00126,0.3984,0.40342,,0.02554,0.02378,0.02728,0.0,0.0,5,,,0.02917,0.02742,0.03104,0.0,0.0,5,,,
ml1m,EASE,CatMRR,Steck-b,0.37182,3e-07,0.37182,0.00122,0.36957,0.3743,,,,,,,,,,,,,,,,,,
ml1m,EASE,CatNDCG,BASE,0.47616,0.0,0.47616,0.0011,0.47386,0.47837,,,,,,,,,,,,,,,,,,
ml1m,EASE,CatNDCG,SIT,0.48927,3.1e-06,0.48928,0.00119,0.48677,0.49161,,0.01311,0.01151,0.01453,0.0,0.0,5,,,0.02074,0.01921,0.02233,0.0,0.0,5,,,
ml1m,EASE,CatNDCG,Steck-b,0.46853,3e-07,0.46853,0.00111,0.46644,0.47081,,,,,,,,,,,,,,,,,,
ml1m,EASE,macroCatMRR,BASE,0.12939,0.0,0.12939,0.00077,0.12795,0.13091,,,,,,,,,,,,,,,,,,
ml1m,EASE,macroCatMRR,SIT,0.14225,8.9e-06,0.14225,0.00084,0.14054,0.14386,winner,0.01285,0.01169,0.01395,0.0,0.0,5,0.0,***,0.01094,0.0097,0.01225,0.0,0.0,5,0.0,***,
ml1m,EASE,macroCatMRR,Steck-b,0.13131,3e-07,0.13131,0.00086,0.12956,0.13293,,,,,,,,,,,,,,,,,,
ml1m,EASE,MRR,BASE,0.02021,0.0,0.02021,0.00027,0.01968,0.02077,,,,,,,,,,,,,,,,,,
ml1m,EASE,MRR,SIT,0.02092,2e-07,0.02092,0.00027,0.0204,0.02147,,0.00071,0.00042,0.001,0.0,0.0,5,,,0.00082,0.00052,0.00112,0.0,0.0,5,,,
ml1m,EASE,MRR,Steck-b,0.0201,1e-07,0.0201,0.00027,0.01957,0.02061,,,,,,,,,,,,,,,,,,
ml1m,EASE,HR5,BASE,0.02139,0.0,0.02139,0.00047,0.02046,0.02231,,,,,,,,,,,,,,,,,,
ml1m,EASE,HR5,SIT,0.02204,5.6e-06,0.02204,0.00047,0.02114,0.02295,,0.00065,-5e-05,0.00133,0.066667,0.0,5,,,0.00084,0.0002,0.00152,0.012,0.0,5,,,
ml1m,EASE,HR5,Steck-b,0.0212,0.0,0.0212,0.00047,0.02028,0.02211,,,,,,,,,,,,,,,,,,
ml1m,EASE,HR10,BASE,0.03799,0.0,0.03799,0.00063,0.03677,0.03918,,,,,,,,,,,,,,,,,,
ml1m,EASE,HR10,SIT,0.0404,8.6e-06,0.0404,0.00065,0.03909,0.04168,,0.00242,0.00153,0.00336,0.0,0.0,5,,,0.00263,0.00166,0.00354,0.0,0.0,5,,,
ml1m,EASE,HR10,Steck-b,0.03778,0.0,0.03778,0.00059,0.03662,0.03889,,,,,,,,,,,,,,,,,,
ml1m,EASE,HR20,BASE,0.06894,0.0,0.06894,0.00081,0.06741,0.07052,,,,,,,,,,,,,,,,,,
ml1m,EASE,HR20,SIT,0.07291,9.2e-06,0.07292,0.00084,0.07131,0.07463,,0.00397,0.00283,0.00513,0.0,0.0,5,,,0.00536,0.00423,0.00655,0.0,0.0,5,,,0
ml1m,EASE,HR20,Steck-b,0.06755,4.6e-06,0.06755,0.00078,0.06606,0.0691,,,,,,,,,,,,,,,,,,
ml1m,EASE,NDCG5,BASE,0.01299,0.0,0.01299,0.0003,0.0124,0.01357,,,,,,,,,,,,,,,,,,
ml1m,EASE,NDCG5,SIT,0.01333,2e-06,0.01333,0.0003,0.01275,0.01392,,0.00033,-4e-05,0.0007,0.081333,0.0,5,,,0.0004,1e-05,0.0008,0.045333,0.0,5,,,
ml1m,EASE,NDCG5,Steck-b,0.01293,0.0,0.01293,0.0003,0.0123,0.01348,,,,,,,,,,,,,,,,,,
ml1m,EASE,NDCG10,BASE,0.01829,0.0,0.01829,0.00033,0.01766,0.01894,,,,,,,,,,,,,,,,,,
ml1m,EASE,NDCG10,SIT,0.01919,2.5e-06,0.01919,0.00033,0.01857,0.01984,,0.0009,0.00051,0.0013,0.0,0.0,5,,,0.00097,0.00059,0.00137,0.0,0.0,5,,,
ml1m,EASE,NDCG10,Steck-b,0.01822,0.0,0.01822,0.00033,0.01756,0.01887,,,,,,,,,,,,,,,,,,
ml1m,EASE,NDCG20,BASE,0.02603,0.0,0.02603,0.00034,0.02537,0.0267,,,,,,,,,,,,,,,,,,
ml1m,EASE,NDCG20,SIT,0.02734,1.9e-06,0.02734,0.00035,0.02665,0.02801,,0.0013,0.00093,0.0017,0.0,0.0,5,,,0.00167,0.00126,0.00208,0.0,0.0,5,,,1
ml1m,EASE,NDCG20,Steck-b,0.02566,1e-06,0.02566,0.00035,0.02496,0.02636,,,,,,,,,,,,,,,,,,
ml1m,EASE,MRR_u,BASE,0.03151,0.0,0.03151,0.00078,0.03,0.03305,,,,,,,,,,,,,,,,,,
ml1m,EASE,MRR_u,SIT,0.03106,1.9e-06,0.03106,0.00075,0.02961,0.03257,,-0.00045,-0.00162,0.00063,0.430667,0.0,0,,,-4e-05,-0.00117,0.00111,0.917333,1e-06,0,,,
ml1m,EASE,MRR_u,Steck-b,0.0311,4e-07,0.0311,0.00078,0.02968,0.0327,,,,,,,,,,,,,,,,,,
ml1m,EASE,HR5_u,BASE,0.03599,0.0,0.03599,0.00135,0.03327,0.03858,,,,,,,,,,,,,,,,,,
ml1m,EASE,HR5_u,SIT,0.03602,4.53e-05,0.03605,0.0013,0.03357,0.03871,,3e-05,-0.00201,0.0022,0.961333,0.258427,3,,,0.00101,-0.00114,0.00319,0.32,1e-06,5,,,
ml1m,EASE,HR5_u,Steck-b,0.035,0.0,0.035,0.0013,0.03244,0.03763,,,,,,,,,,,,,,,,,,
ml1m,EASE,HR10_u,BASE,0.06423,0.0,0.06423,0.00183,0.06052,0.06779,,,,,,,,,,,,,,,,,,
ml1m,EASE,HR10_u,SIT,0.06612,1.15e-05,0.06612,0.00182,0.06271,0.06983,,0.00189,-0.00099,0.00471,0.184,0.0,5,,,0.00309,0.00036,0.00584,0.029333,0.0,5,,,
ml1m,EASE,HR10_u,Steck-b,0.06303,0.0,0.06303,0.00175,0.0596,0.06644,,,,,,,,,,,,,,,,,,
ml1m,EASE,HR20_u,BASE,0.11469,0.0,0.11469,0.00223,0.11034,0.11906,,,,,,,,,,,,,,,,,,
ml1m,EASE,HR20_u,SIT,0.11463,1.54e-05,0.11464,0.00226,0.11024,0.11917,,-5e-05,-0.0033,0.00354,0.997333,0.001724,0,,,0.00576,0.00234,0.00928,0.001333,0.0,5,,,
ml1m,EASE,HR20_u,Steck-b,0.10888,1.85e-05,0.10889,0.00227,0.10447,0.11322,,,,,,,,,,,,,,,,,,
ml1m,EASE,NDCG5_u,BASE,0.02189,0.0,0.02189,0.00088,0.0202,0.02366,,,,,,,,,,,,,,,,,,
