mode,K,eps,bfrac,lens_KLmax,lens_KLratio,kstar_SIT,dim_v,BASE_micro,SIT_micro,BASE_macro,SIT_macro,dMicro,dMacro,cats_SIT_gt_BASE
full,4,0.05,0.241,0.91,3.049,0.25,16,0.37773,0.39453,0.19159,0.20031,0.0168,0.00873,7/10
raw_ctx,6,0.1,0.233,0.1113,2.829,0.25,167,0.37773,0.38174,0.19159,0.19653,0.00401,0.00495,7/10
raw_int,6,0.1,0.058,0.3919,2.899,0.25,16,0.37773,0.39295,0.19159,0.20051,0.01523,0.00893,7/10
raw_both,3,0.07,0.053,0.2648,2.643,0.25,167,0.37773,0.39246,0.19159,0.2041,0.01474,0.01252,7/10
