gamma,depth,n,city,K,eps,ari_mean,ari_min,bfrac,n_iters,secs
0.5,4,5,istanbul,8,0.01,0.5956583469145263,0.5671554668761426,0.21366506470687344,33,45.4
0.5,4,5,bangkok,4,0.03,0.8657654271944226,0.7994081284978511,0.3125438270841067,35,9.7
0.5,4,5,nyc_tist,6,0.02,0.6869533757965537,0.6220104702355033,0.26764273991534937,18,3.3
0.5,4,5,saopaulo,8,0.02,0.7412169795784148,0.626388489212408,0.22702535559678416,80,16.0
0.5,4,5,tokyo_tist,4,0.05,0.8435618743330292,0.7653428114995438,0.08602995920069091,36,15.2
0.5,4,7,istanbul,8,0.01,0.636392265702094,0.5138434228386014,0.21686363551269397,21,32.9
0.5,4,7,bangkok,4,0.03,0.6301240271606839,0.5362712046597898,0.3024625665140453,34,9.4
0.5,4,7,nyc_tist,6,0.02,0.8081624622630746,0.7391980536480239,0.2748121274941695,17,3.3
0.5,4,7,saopaulo,8,0.02,0.9594234887235542,0.9391378704073245,0.17597402597402598,28,6.6
0.5,4,7,tokyo_tist,4,0.05,0.7778696875855048,0.6668045313782571,0.115768784061467,36,15.1
0.5,4,10,istanbul,8,0.01,0.7858184847900272,0.7632335728694,0.21213798784222168,29,42.9
0.5,4,10,bangkok,4,0.03,0.6899027354160934,0.5354135645114009,0.24846759889452627,57,14.2
0.5,4,10,nyc_tist,6,0.02,0.8243463340442583,0.7384305274416059,0.26127235034983154,17,3.5
0.5,4,10,saopaulo,8,0.02,0.5436880893201389,0.5073946569060862,0.2508039579468151,33,7.6
0.5,4,10,tokyo_tist,4,0.05,0.6077189641737403,0.4138669741541373,0.15683611781172757,44,18.3
0.5,5,3,istanbul,8,0.01,0.7092408227838631,0.6330290242024247,0.23037465533794932,47,79.1
