city,K,eps,gamma,depth,n,ari_mean,ari_min,bfrac,n_iters
istanbul,4,0.01,0.4,6,3,0.670332790154726,0.3815189150124775,0.19335520984603533,21
bangkok,4,0.03,0.4,6,3,0.8763741340078595,0.5728578435188453,0.21146640267293654,13
nyc_tist,4,0.02,0.4,6,3,0.7961906475061283,0.3497675492318083,0.1512891940917336,25
saopaulo,4,0.03,0.4,6,3,0.8561245355637069,0.7061777500768979,0.15109925788497217,20
tokyo_tist,4,0.07,0.4,6,3,0.8142487168689347,0.637801582978189,0.22642901813633523,42
