city,config,R20,N20,APL_per_request,APL_per_user,LT_coverage,KL_situation_mean,KL_situation_max,Gini_exposure,n_sinks,touch_share
istanbul,blind,0.08464219519049254,0.03679387919020811,0.008799735456705093,0.009659316992237956,0.15126276195593766,0.023158234417797234,0.037373914150736647,0.9733783037853785,1,0.32796946116576126
istanbul,full,0.0780079481995541,0.03441297409254242,0.015583982691168785,0.01269904620110489,0.06528747984954325,0.08573017319132341,0.20069650076192394,0.9814712849926444,1,0.32796946116576126
istanbul,xsage,0.07953966382970196,0.03457513556958691,0.035874322056770325,0.03505308832098615,0.23038688876947877,0.15584654761246478,0.31343925263907557,0.9675253564992812,1,0.32796946116576126
bangkok,blind,0.0923400980079859,0.04192949201950887,0.03199444338679314,0.02807156463342992,0.20033751205400194,0.07632419110915672,0.11534371408765268,0.9603166112183317,1,0.04600973459454495
bangkok,full,0.08751002696146776,0.040559828606418824,0.08102327585220337,0.06424105608916432,0.3490838958534233,0.4084890998916756,1.3666014164832494,0.9416795824225399,1,0.04600973459454495
bangkok,xsage,0.0927768195617119,0.0422932504707144,0.045914456248283386,0.03911978470922687,0.3191899710703954,0.3812524636374468,1.291753070359894,0.9541045394248777,1,0.04600973459454495
nyc_tist,blind,0.09087472090217003,0.038227297895529026,0.07518359273672104,0.06686117255789881,0.3910316713703355,0.12556726323367046,0.2133579424872047,0.9237836520833709,1,0.15806123601852898
nyc_tist,full,0.10799737160946188,0.048835677263466895,0.1972404271364212,0.16613295660326932,0.599247412982126,0.16709275690464115,0.2759816236077256,0.878964265769751,1,0.15806123601852898
nyc_tist,xsage,0.08911594132020428,0.037779944255895204,0.16300983726978302,0.1462448217693897,0.40608341172781437,0.44361259417407783,1.1896769348346699,0.9068653810682934,1,0.15806123601852898
saopaulo,blind,0.08935593974203472,0.038709269765400914,0.06526803970336914,0.07224118404081928,0.3851851851851852,0.08772628415524586,0.16610648924900054,0.9172772628176942,1,0.24789051677091642
saopaulo,full,0.08885857372032811,0.03880879512831387,0.13326267898082733,0.12543377379934778,0.4994152046783626,0.2582497961282907,0.56362932900587,0.8950344194154545,1,0.24789051677091642
saopaulo,xsage,0.08418515509337425,0.036575680333537426,0.12337224185466766,0.11952437968741712,0.4148148148148148,0.2653022546472077,0.6323518466398794,0.9037482576990032,1,0.24789051677091642
tokyo_tist,blind,0.0747218490275195,0.034010314073011756,0.023279493674635887,0.03243715108356662,0.3023154215814766,0.040349615275428005,0.05209939223460698,0.9597713259361875,0,0.0
tokyo_tist,full,0.0693492453372897,0.03186322473464197,0.03649955987930298,0.031643259230992475,0.19855832241153343,0.21168393247014733,0.36106654122468335,0.9636090942910758,0,0.0
tokyo_tist,xsage,0.0747218490275195,0.034010314073011756,0.023279493674635887,0.03243715108356662,0.3023154215814766,0.040349615275428005,0.05209939223460698,0.9597713259361875,0,0.0
