city,situation,n_requests,LT,KL,available_LT,global_KL_mean,is_sink
istanbul,0,48398,0.0073308814413818755,0.037373914150736647,0.8023347577129115,0.023158234417797234,1
istanbul,1,38133,0.009883827655836152,0.02142017160815499,0.8022840780471924,0.023158234417797234,0
istanbul,2,21820,0.008492208982584785,0.02082606175504646,0.8022596339633927,0.023158234417797234,0
istanbul,3,27869,0.01010800531056012,0.013012790157250828,0.8022450332812386,0.023158234417797234,0
bangkok,0,7268,0.04396670335718217,0.07473815103204584,0.8037051986368545,0.07632419110915672,0
bangkok,1,29432,0.029517192171785812,0.00900243229059981,0.8041230156941371,0.07632419110915672,0
bangkok,2,2094,0.04842406876790831,0.11534371408765268,0.8040101561961788,0.07632419110915672,1
bangkok,3,4762,0.021808063838723225,0.10621246702632856,0.8044114739742706,0.07632419110915672,0
nyc_tist,0,8133,0.07927578999139309,0.06644061679824548,0.8021962517941655,0.12556726323367046,0
nyc_tist,1,2988,0.06832329317269076,0.2133579424872047,0.8021305696640875,0.12556726323367046,1
nyc_tist,2,3472,0.06379608294930876,0.11645637222200107,0.8023966650997534,0.12556726323367046,0
nyc_tist,3,3109,0.08378899967835317,0.1060141214272306,0.8023599904187312,0.12556726323367046,0
saopaulo,0,4662,0.0694980694980695,0.05420577725638722,0.8035061088901113,0.08772628415524586,0
saopaulo,1,2329,0.06534993559467582,0.0619731586504808,0.8032827855931843,0.08772628415524586,0
saopaulo,2,10356,0.07481653147933565,0.06861971146511492,0.8032216981839513,0.08772628415524586,0
saopaulo,3,6474,0.04691844300278035,0.16610648924900054,0.8049000432666147,0.08772628415524586,1
tokyo_tist,0,19008,0.035837542087542085,0.04279424741932611,0.8039100153204123,0.040349615275428005,0
tokyo_tist,1,8204,0.018387372013651877,0.05209939223460698,0.8048794880725036,0.040349615275428005,0
tokyo_tist,2,3424,0.0342143691588785,0.05027979915400943,0.8038485530268605,0.040349615275428005,0
tokyo_tist,3,28925,0.015120138288677615,0.01622502229376948,0.8049435178356944,0.040349615275428005,0
