city,config,R20,N20,APL_per_request,APL_per_user,LT_coverage,KL_situation_mean,KL_situation_max,Gini_exposure,n_sinks,touch_share
istanbul,blind,0.08464219519049254,0.03679387919020811,0.008799735456705093,0.009659316992237956,0.15126276195593766,0.040935672197347533,0.07779573410972473,0.9733783037853785,1,0.11529878138305683
istanbul,full,0.0780079481995541,0.03441297409254242,0.015583982691168785,0.01269904620110489,0.06528747984954325,0.22971291756776419,0.4529184280151409,0.9814712849926444,1,0.11529878138305683
istanbul,xsage,0.08301538464357129,0.036163140637897044,0.016760019585490227,0.017136448532555346,0.22111767866738313,0.09207855235326547,0.40432706698369186,0.9709155064219139,1,0.11529878138305683
bangkok,blind,0.0923400980079859,0.04192949201950887,0.03199444338679314,0.02807156463342992,0.20033751205400194,0.06946062741495851,0.11534498951707209,0.9603166112183317,1,0.05133621085499127
bangkok,full,0.08751002696146776,0.040559828606418824,0.08102327585220337,0.06424105608916432,0.3490838958534233,0.6577125429776173,1.3207544550824397,0.9416795824225399,1,0.05133621085499127
bangkok,xsage,0.09284358320927284,0.0423355068794153,0.04727821797132492,0.04027319948000945,0.3232883317261331,0.34872041501594236,1.1854083261802926,0.9536091756271514,1,0.05133621085499127
nyc_tist,blind,0.09087472090217003,0.038227297895529026,0.07518359273672104,0.06686117255789881,0.3910316713703355,0.16332397647152336,0.31050286141783917,0.9237836520833709,2,0.2299740142356796
nyc_tist,full,0.10799737160946188,0.048835677263466895,0.1972404271364212,0.16613295660326932,0.599247412982126,0.32741087717687756,0.7118341559189807,0.878964265769751,2,0.2299740142356796
nyc_tist,xsage,0.08485184980695874,0.036396713740804235,0.19432269036769867,0.17062839117381026,0.44622138601442457,0.528853091358093,1.1566598871553329,0.8961932333070843,2,0.2299740142356796
saopaulo,blind,0.08935593974203472,0.038709269765400914,0.06526803970336914,0.07224118404081928,0.3851851851851852,0.2300396346448874,0.7355708195551176,0.9172772628176942,2,0.08756979136056421
saopaulo,full,0.08885857372032811,0.03880879512831387,0.13326267898082733,0.12543377379934778,0.4994152046783626,0.4431067542394512,0.9181890683451277,0.8950344194154545,2,0.08756979136056421
saopaulo,xsage,0.0876124337292473,0.037994618646106655,0.08504470437765121,0.08604991592552455,0.4183235867446394,0.3927042705778401,1.2837359308009713,0.9107297519265498,2,0.08756979136056421
tokyo_tist,blind,0.0747218490275195,0.034010314073011756,0.023279493674635887,0.03243715108356662,0.3023154215814766,0.04018420970480975,0.05532905987624471,0.9597713259361875,0,0.0
tokyo_tist,full,0.0693492453372897,0.03186322473464197,0.03649955987930298,0.031643259230992475,0.19855832241153343,0.2094974121763779,0.3429349043688686,0.9636090942910758,0,0.0
tokyo_tist,xsage,0.0747218490275195,0.034010314073011756,0.023279493674635887,0.03243715108356662,0.3023154215814766,0.04018420970480975,0.05532905987624471,0.9597713259361875,0,0.0
