gamma,depth,n,city,K,eps,ari_mean,ari_min,n_iters,secs
0.3,5,3,saopaulo,8,0.02,0.8792643546221571,0.8310995771095205,50,9.4
0.3,5,3,tokyo_tist,4,0.05,0.9998733489733996,0.9998100242342923,13,8.3
0.3,5,5,istanbul,8,0.01,0.5803123804874256,0.5068296372414549,45,55.4
0.3,5,5,bangkok,4,0.03,0.8555592529332583,0.783339360794749,18,6.3
0.3,5,5,nyc_tist,6,0.02,0.8100511677806903,0.715247223915977,48,5.7
0.3,5,5,saopaulo,8,0.02,0.6310387773786702,0.4825685187715279,23,5.6
0.3,5,5,tokyo_tist,4,0.05,0.7643418988655201,0.6465128482982799,33,14.0
0.3,5,7,istanbul,8,0.01,0.7424726817156788,0.7247890762472099,39,49.0
0.3,5,7,bangkok,4,0.03,0.6042897303404068,0.5051315933803749,20,6.7
0.3,5,7,nyc_tist,6,0.02,0.8148179467482076,0.7223847515248633,25,3.6
0.3,5,7,saopaulo,8,0.02,0.7701283791270782,0.6928353577212817,29,6.5
0.3,5,7,tokyo_tist,4,0.05,0.7823457556108808,0.6784666417647122,58,20.9
0.3,5,10,istanbul,8,0.01,0.6733992959469207,0.5245532169200559,37,48.6
0.3,5,10,bangkok,4,0.03,0.9333211096806422,0.9001215334201823,13,5.6
0.3,5,10,nyc_tist,6,0.02,0.6944131039455831,0.5422822338312075,30,4.1
0.3,5,10,saopaulo,8,0.02,0.653106819750183,0.521643147485247,40,8.1
0.3,5,10,tokyo_tist,4,0.05,0.7854482930206662,0.6785489385953496,58,20.8
0.4,2,3,istanbul,8,0.01,0.6680509623835653,0.5550859872857318,48,59.5
0.4,2,3,bangkok,4,0.03,0.7329212211269042,0.6633260559065843,10,4.9
0.4,2,3,nyc_tist,6,0.02,0.725347419080272,0.6460247852344739,35,4.4
0.4,2,3,saopaulo,8,0.02,0.6321784289395396,0.5730771541876741,63,11.6
0.4,2,3,tokyo_tist,4,0.05,0.8960183748241738,0.8440275622362609,10,7.1
0.4,2,5,istanbul,8,0.01,0.6948563968625553,0.5995180192246381,49,59.5
0.4,2,5,bangkok,4,0.03,0.6948659964751797,0.5426177848725429,15,5.8
0.4,2,5,nyc_tist,6,0.02,0.9917143972349033,0.9879630428128592,80,8.3
0.4,2,5,saopaulo,8,0.02,0.7050305482491157,0.5575631479405079,27,6.2
0.4,2,5,tokyo_tist,4,0.05,0.6236145837072476,0.5427292922010848,31,13.1
0.4,2,7,istanbul,8,0.01,0.6248269248074746,0.49165539071090325,58,69.5
0.4,2,7,bangkok,4,0.03,0.7494740973096836,0.6242689955752581,13,5.4
0.4,2,7,nyc_tist,6,0.02,0.8963058625332162,0.8452682519566919,58,6.5
0.4,2,7,saopaulo,8,0.02,0.985995943101277,0.9793257214936514,26,5.9
0.4,2,7,tokyo_tist,4,0.05,0.7742807596084708,0.6614211394127061,37,14.5
0.4,2,10,istanbul,8,0.01,0.8599440622071676,0.7901334528742964,34,44.4
0.4,2,10,bangkok,4,0.03,0.5008550269539002,0.4400468349740402,24,7.5
0.4,2,10,nyc_tist,6,0.02,0.8190541768735465,0.7285812653103199,60,6.6
0.4,2,10,saopaulo,8,0.02,0.7049676918163721,0.6431895577511345,22,5.4
0.4,2,10,tokyo_tist,4,0.05,0.6709857665489704,0.549269610386054,56,20.1
0.4,3,3,istanbul,8,0.01,0.6293486232979988,0.4956103706622844,45,56.0
0.4,3,3,bangkok,4,0.03,0.5724526782289907,0.35943690972014497,59,13.2
0.4,3,3,nyc_tist,6,0.02,0.997076258554909,0.9956143878323636,14,2.7
0.4,3,3,saopaulo,8,0.02,0.6815762826651014,0.5520604113033778,59,10.9
0.4,3,3,tokyo_tist,4,0.05,0.7856884120352827,0.678532618052924,32,13.4
0.4,3,5,istanbul,8,0.01,0.6911975645589227,0.6038249482860558,36,47.4
0.4,3,5,bangkok,4,0.03,0.5072370449981554,0.46415798265082997,39,9.9
0.4,3,5,nyc_tist,6,0.02,0.5621536931215573,0.39244541078096207,20,3.2
0.4,3,5,saopaulo,8,0.02,0.68986496684757,0.5499879567172494,80,13.9
0.4,3,5,tokyo_tist,4,0.05,0.7198762817980433,0.579814422697065,37,14.7
0.4,3,7,istanbul,8,0.01,0.5623746760063514,0.44402784098140424,23,34.4
0.4,3,7,bangkok,4,0.03,0.7126102290625745,0.5703379306269164,58,12.6
0.4,3,7,nyc_tist,6,0.02,0.7709628201364768,0.656500909927815,26,3.7
0.4,3,7,saopaulo,8,0.02,0.6622487096132531,0.5580351808612671,40,8.2
0.4,3,7,tokyo_tist,4,0.05,0.5046972281807132,0.3098485987624881,80,26.4
0.4,3,10,istanbul,8,0.01,0.6271622648197853,0.5700451999637275,40,51.2
0.4,3,10,bangkok,4,0.03,0.7847196915653759,0.6778777756114147,55,12.6
0.4,3,10,nyc_tist,6,0.02,0.7346157012062058,0.6162929989747024,42,5.1
0.4,3,10,saopaulo,8,0.02,0.7924454056612644,0.7044713421123946,59,11.1
0.4,3,10,tokyo_tist,4,0.05,0.7336887639533698,0.6005331459300546,35,14.3
0.4,4,3,istanbul,8,0.01,0.724276288759885,0.6626404110637882,34,47.7
0.4,4,3,bangkok,4,0.03,0.7888104184484899,0.6833682448036307,14,6.2
0.4,4,3,nyc_tist,6,0.02,0.4831486256045856,0.39385109376298466,20,3.5
0.4,4,3,saopaulo,8,0.02,0.6488162121215427,0.5521136176289343,30,7.6
0.4,4,3,tokyo_tist,4,0.05,0.7328371523689311,0.5992557285533965,36,15.0
0.4,4,5,istanbul,8,0.01,0.5085676418840429,0.3640691493683092,44,55.2
0.4,4,5,bangkok,4,0.03,0.8004920646322763,0.7007380969484144,23,7.4
0.4,4,5,nyc_tist,6,0.02,0.7451465141472293,0.7115957613814284,22,3.5
0.4,4,5,saopaulo,8,0.02,0.7563271352025797,0.6347062668758094,58,11.1
0.4,4,5,tokyo_tist,4,0.05,0.6806383227155264,0.5209574840732895,11,7.8
0.4,4,7,istanbul,8,0.01,0.5437977135975207,0.4622910931011047,34,46.0
0.4,4,7,bangkok,4,0.03,0.6538809257551996,0.4808213886327994,30,8.6
0.4,4,7,nyc_tist,6,0.02,0.8721558672165397,0.8084124331200031,18,3.2
0.4,4,7,saopaulo,8,0.02,0.6913980926499385,0.5569809651506309,60,11.6
0.4,4,7,tokyo_tist,4,0.05,1.0,1.0,14,8.5
0.4,4,10,istanbul,8,0.01,0.5825697979073192,0.4814172420691061,34,45.0
0.4,4,10,bangkok,4,0.03,0.6795865420932191,0.5632807134134488,22,7.2
0.4,4,10,nyc_tist,6,0.02,0.9995227790957898,0.9992842445633416,24,3.6
0.4,4,10,saopaulo,8,0.02,0.9166359683882076,0.8842386179402641,68,12.1
0.4,4,10,tokyo_tist,4,0.05,0.5888572296792228,0.39579007521228293,16,9.2
0.4,5,3,istanbul,8,0.01,0.7183893116547448,0.6752329139707087,22,32.9
0.4,5,3,bangkok,4,0.03,0.9998972650765009,0.9998458976757917,10,5.2
0.4,5,3,nyc_tist,6,0.02,0.7276231299073533,0.6959302585784074,25,4.0
0.4,5,3,saopaulo,8,0.02,0.5978243695897146,0.543654801804119,39,8.4
0.4,5,3,tokyo_tist,4,0.05,1.0,1.0,15,8.8
0.4,5,5,istanbul,8,0.01,0.6402691819037566,0.5169926743714127,28,40.2
0.4,5,5,bangkok,4,0.03,0.7850569420206345,0.6775986821289706,12,5.8
0.4,5,5,nyc_tist,6,0.02,0.8092824565120633,0.7140596389467209,19,3.4
