gamma,depth,n,city,K,eps,ari_mean,ari_min,n_iters,secs
0.6,5,10,istanbul,8,0.01,0.5349298170773272,0.49308173923940246,36,48.9
0.6,5,10,bangkok,4,0.03,0.47981739319579614,0.3851780564419805,20,7.4
0.6,5,10,nyc_tist,6,0.02,0.7385119563809198,0.6084202145678362,29,4.4
0.6,5,10,saopaulo,8,0.02,0.8740132720822156,0.8200734528652197,44,9.0
0.6,5,10,tokyo_tist,4,0.05,0.768176959816136,0.652265439724204,38,15.3
0.7,2,3,istanbul,8,0.01,0.625386522904983,0.4702656973740755,19,31.3
0.7,2,3,bangkok,4,0.03,0.7973917468648352,0.6964553755384432,22,7.4
0.7,2,3,nyc_tist,6,0.02,0.7811186083866262,0.6925003970984545,63,7.5
0.7,2,3,saopaulo,8,0.02,0.6024064064737211,0.5010887159846007,47,9.6
0.7,2,3,tokyo_tist,4,0.05,0.7023435545349167,0.6127807582551857,30,12.7
0.7,2,5,istanbul,8,0.01,0.7684408909755245,0.6544507863408747,26,38.4
0.7,2,5,bangkok,4,0.03,0.8359869404957077,0.7540488745758501,13,5.8
0.7,2,5,nyc_tist,6,0.02,0.6138422034781029,0.5522294647297987,23,3.7
0.7,2,5,saopaulo,8,0.02,0.7584740831948783,0.6918889520736705,33,7.4
0.7,2,5,tokyo_tist,4,0.05,0.7588319281106614,0.6593242627058722,57,20.6
0.7,2,7,istanbul,8,0.01,0.7554523565731678,0.6559197939869346,35,47.5
0.7,2,7,bangkok,4,0.03,0.6694099675422202,0.5588928248239668,16,6.4
0.7,2,7,nyc_tist,6,0.02,0.5603665535686134,0.47805044852515094,45,5.6
0.7,2,7,saopaulo,8,0.02,0.7094499457162812,0.5728680323277244,49,9.8
0.7,2,7,tokyo_tist,4,0.05,1.0,1.0,8,6.7
0.7,2,10,istanbul,8,0.01,0.5549182833086298,0.43540044443127884,34,46.1
0.7,2,10,bangkok,4,0.03,0.9972058873082746,0.9958089818548905,31,9.4
0.7,2,10,nyc_tist,6,0.02,0.8506585966079531,0.7759878949119295,25,3.9
0.7,2,10,saopaulo,8,0.02,0.799596978162941,0.7340532154792729,40,8.4
0.7,2,10,tokyo_tist,4,0.05,0.6046473687689289,0.46223280701376734,35,14.8
0.7,3,3,istanbul,8,0.01,0.5347996683723157,0.4670637784265061,22,33.7
0.7,3,3,bangkok,4,0.03,0.7220803209824406,0.5831204814736608,56,13.3
0.7,3,3,nyc_tist,6,0.02,0.5921536184240183,0.5467499474510369,18,3.2
0.7,3,3,saopaulo,8,0.02,0.6503872301743489,0.49442078002281975,60,11.6
0.7,3,3,tokyo_tist,4,0.05,0.7366331122074387,0.6049496683111579,33,14.0
0.7,3,5,istanbul,8,0.01,0.6033173370381135,0.46282203692348933,25,37.0
0.7,3,5,bangkok,4,0.03,0.6615886028327647,0.49238290424914694,60,14.5
0.7,3,5,nyc_tist,6,0.02,0.6978379202660935,0.547332145878323,20,3.5
0.7,3,5,saopaulo,8,0.02,0.6805288011142708,0.5586943424816239,45,9.4
0.7,3,5,tokyo_tist,4,0.05,0.9068166141628455,0.8631602620605253,57,20.6
0.7,3,7,istanbul,8,0.01,0.597981931823817,0.5139613510486656,45,58.3
0.7,3,7,bangkok,4,0.03,0.9978689611672221,0.996803441750833,80,17.5
0.7,3,7,nyc_tist,6,0.02,0.6917078551178862,0.5452626731198492,31,4.4
0.7,3,7,saopaulo,8,0.02,0.6751722195215445,0.5572021298061711,44,9.1
0.7,3,7,tokyo_tist,4,0.05,0.6674657201226882,0.5049556088353621,57,20.6
0.7,3,10,istanbul,8,0.01,0.6936103332079991,0.5893478791837977,41,53.9
0.7,3,10,bangkok,4,0.03,0.6700001727517088,0.6067163466692226,41,11.2
0.7,3,10,nyc_tist,6,0.02,0.7483198327480797,0.6295307942668523,36,5.0
0.7,3,10,saopaulo,8,0.02,0.6866411204902846,0.5607264697305652,47,9.9
0.7,3,10,tokyo_tist,4,0.05,0.5279983052072913,0.30487146267355925,56,20.8
0.7,4,3,istanbul,8,0.01,0.577377756742144,0.5043783034423849,35,47.9
0.7,4,3,bangkok,4,0.03,0.6098967950931208,0.41491497489968976,15,6.2
0.7,4,3,nyc_tist,6,0.02,0.6024185880214635,0.4537708927307731,37,5.0
0.7,4,3,saopaulo,8,0.02,0.6727478338419003,0.5423446708595976,60,11.8
0.7,4,3,tokyo_tist,4,0.05,0.49348426849732224,0.27620339795290083,80,27.2
0.7,4,5,istanbul,8,0.01,0.5786242635944271,0.4654865161046199,55,68.8
0.7,4,5,bangkok,4,0.03,0.5535003465862686,0.5103395211897456,42,11.0
0.7,4,5,nyc_tist,6,0.02,0.7037261638993676,0.5556716095578967,26,4.3
0.7,4,5,saopaulo,8,0.02,0.7021810028773791,0.6184511340376018,61,12.2
0.7,4,5,tokyo_tist,4,0.05,0.8403061738341558,0.7643336983714056,57,22.4
0.7,4,7,istanbul,8,0.01,0.6433030193281138,0.5369064702141791,26,39.5
0.7,4,7,bangkok,4,0.03,0.9993027977669443,0.9989892909689909,64,15.3
0.7,4,7,nyc_tist,6,0.02,0.9990610382942778,0.9987609830732794,22,3.6
0.7,4,7,saopaulo,8,0.02,0.7747376562822516,0.6840651134459178,61,12.2
0.7,4,7,tokyo_tist,4,0.05,0.5826272877547748,0.38634546509945006,41,18.5
0.7,4,10,istanbul,8,0.01,0.6661939125870694,0.5707047298253907,35,48.3
0.7,4,10,bangkok,4,0.03,0.8528012595988432,0.779201889398265,27,8.2
0.7,4,10,nyc_tist,6,0.02,0.6973378605389603,0.5468126432282336,23,3.8
0.7,4,10,saopaulo,8,0.02,0.9616341966519829,0.9504917954291521,58,11.2
0.7,4,10,tokyo_tist,4,0.05,1.0,1.0,14,8.6
0.7,5,3,istanbul,8,0.01,0.42717713989865064,0.3682073567848297,50,63.0
0.7,5,3,bangkok,4,0.03,0.6450109857368459,0.5663418212560554,16,6.4
0.7,5,3,nyc_tist,6,0.02,0.5231809977075309,0.4106538307435342,23,3.7
0.7,5,3,saopaulo,8,0.02,0.6036322865981538,0.4372985555930653,33,7.6
0.7,5,3,tokyo_tist,4,0.05,0.7213089989639818,0.5819634984459727,33,14.2
0.7,5,5,istanbul,8,0.01,0.7338446862592325,0.7013251519100341,37,48.9
0.7,5,5,bangkok,4,0.03,0.8553222654038671,0.7831096489671853,18,6.6
0.7,5,5,nyc_tist,6,0.02,0.7417373022711637,0.6130288471429725,46,5.8
0.7,5,5,saopaulo,8,0.02,0.8548758796078504,0.7828475232106866,27,6.5
0.7,5,5,tokyo_tist,4,0.05,0.7260736483479873,0.5928348622325469,58,21.6
0.7,5,7,istanbul,8,0.01,0.6047764272794781,0.5372151555174912,56,71.6
0.7,5,7,bangkok,4,0.03,0.7046880436343285,0.5570320654514928,43,11.3
0.7,5,7,nyc_tist,6,0.02,0.9441587705427033,0.916795690795985,36,5.0
0.7,5,7,saopaulo,8,0.02,0.786613497855137,0.680609663065678,51,9.9
0.7,5,7,tokyo_tist,4,0.05,0.7879987531703256,0.6871846729677844,58,21.1
0.7,5,10,istanbul,8,0.01,0.7792382780739141,0.6689087560705834,63,76.9
0.7,5,10,bangkok,4,0.03,0.700727292018375,0.551882746001687,32,9.4
0.7,5,10,nyc_tist,6,0.02,0.7770022454371069,0.6667380561600218,25,4.0
0.7,5,10,saopaulo,8,0.02,0.845005711019576,0.7680614875688795,35,7.6
0.7,5,10,tokyo_tist,4,0.05,1.0,1.0,16,9.2
