city,K,eps,kind,gamma,depth,n,ari_mean,ari_min,n_iters,secs
istanbul,4,0.01,Keps,0.7,5,7,0.6599251196138975,0.4702073027328563,35,44.4
istanbul,4,0.02,Keps,0.7,5,7,0.5917361778500151,0.45184284909056066,28,39.8
istanbul,4,0.03,Keps,0.7,5,7,0.6442541770399837,0.46662135540362343,38,51.1
istanbul,4,0.05,Keps,0.7,5,7,0.3396389968684979,0.10369761438237163,34,48.4
istanbul,5,0.01,Keps,0.7,5,7,0.5521340967109041,0.39137499096751666,30,46.0
istanbul,5,0.02,Keps,0.7,5,7,0.5297063095771023,0.37074926488007925,36,55.5
istanbul,5,0.03,Keps,0.7,5,7,0.4986445621707773,0.317180470815693,41,62.0
istanbul,5,0.05,Keps,0.7,5,7,0.34980305414268087,0.28630810064060636,29,50.1
istanbul,6,0.01,Keps,0.7,5,7,0.6722180850279711,0.551002664915393,41,68.2
istanbul,6,0.02,Keps,0.7,5,7,0.4625410556089101,0.36403477943597273,30,54.1
istanbul,6,0.03,Keps,0.7,5,7,0.5467249146590102,0.3396577003880935,30,56.2
istanbul,6,0.05,Keps,0.7,5,7,0.36859431597000086,0.25856280847826146,32,63.3
istanbul,7,0.01,Keps,0.7,5,7,0.6659504729660123,0.43030863065985026,57,101.4
istanbul,7,0.02,Keps,0.7,5,7,0.5073015546064508,0.36185298325477455,28,58.3
istanbul,7,0.03,Keps,0.7,5,7,0.4039919987181489,0.2816398809750696,41,79.4
istanbul,7,0.05,Keps,0.7,5,7,0.30502749490354614,0.1563127108133521,34,73.7
istanbul,8,0.01,Keps,0.7,5,7,0.6572567405585562,0.4948887423237854,45,90.6
istanbul,8,0.02,Keps,0.7,5,7,0.5815449028801936,0.4397651738376263,43,90.7
istanbul,8,0.03,Keps,0.7,5,7,0.44689053112944455,0.31850387700617405,32,70.8
istanbul,8,0.05,Keps,0.7,5,7,0.28982921585147137,0.21126097986144876,44,99.0
bangkok,4,0.01,Keps,0.7,5,7,0.6726955630411495,0.48910426870251994,21,9.4
bangkok,4,0.02,Keps,0.7,5,7,0.8231691234831526,0.5599734584128626,21,9.5
bangkok,4,0.03,Keps,0.7,5,7,0.6321528855866423,0.4822465749541015,35,14.3
bangkok,4,0.05,Keps,0.7,5,7,0.588759979650775,0.3485527684471049,23,10.9
bangkok,5,0.01,Keps,0.7,5,7,0.8942043465955705,0.7357978573089802,28,13.4
bangkok,5,0.02,Keps,0.7,5,7,0.8108341850267136,0.6670388576888852,22,11.7
bangkok,5,0.03,Keps,0.7,5,7,0.7827492824974543,0.6115453516192196,26,13.0
bangkok,5,0.05,Keps,0.7,5,7,0.3743839361949882,0.15567200833671402,22,12.1
bangkok,6,0.01,Keps,0.7,5,7,0.6231671039934001,0.4734667017813145,42,20.4
bangkok,6,0.02,Keps,0.7,5,7,0.604528343679665,0.44289946073387043,21,12.3
