city,K,eps,gamma,depth,n,ari_mean,ari_min,n_iters
istanbul,8,0.01,0.7,5,7,0.6107336337923508,0.36384914884834746,53
bangkok,4,0.01,0.7,5,7,0.7532038278062957,0.48910426870251994,19
nyc_tist,6,0.01,0.7,5,7,0.7394861129091361,0.3948101924737851,22
saopaulo,8,0.01,0.7,5,7,0.8637777207798844,0.5939715322109556,40
tokyo_tist,4,0.01,0.7,5,7,0.7810798938585394,0.6582847885209372,46
