dataset,backbone,seed,method,situation,n_requests,n_users,macroCatMRR,microCatMRR,n_cats_supported,low_support
saopaulo,AFM,42,Steck-b,2,10625,2573,0.3395502711512938,0.3623491614142752,10,False
saopaulo,AFM,42,Steck-b,3,2431,1204,0.5030379725958976,0.5419577266636441,8,False
saopaulo,FPMC,42,BASE,0,6449,1093,0.2756850774906053,0.5096342811018827,9,False
saopaulo,FPMC,42,BASE,1,4316,1008,0.28207479168265387,0.3606980533783826,9,False
saopaulo,FPMC,42,BASE,2,10625,2573,0.2469992777346055,0.38869861398198313,10,False
saopaulo,FPMC,42,BASE,3,2431,1204,0.32983707256164274,0.3369515548054763,8,False
saopaulo,FPMC,42,SIT,0,6449,1093,0.23822062147814776,0.5435190189599578,9,False
saopaulo,FPMC,42,SIT,1,4316,1008,0.28140697260405056,0.35979579752221225,9,False
saopaulo,FPMC,42,SIT,2,10625,2573,0.2358222617520346,0.3937760836753242,10,False
saopaulo,FPMC,42,SIT,3,2431,1204,0.3347452486552829,0.3734821853576812,8,False
saopaulo,FPMC,42,Steck-b,0,6449,1093,0.30568126259140954,0.5568476435994596,9,False
saopaulo,FPMC,42,Steck-b,1,4316,1008,0.3293479017115805,0.4034903565072914,9,False
saopaulo,FPMC,42,Steck-b,2,10625,2573,0.3093373673567935,0.419857573822806,10,False
saopaulo,FPMC,42,Steck-b,3,2431,1204,0.4563735450999258,0.4573782558244258,8,False
saopaulo,SASRec,42,BASE,0,6449,1093,0.2980423630045118,0.5164345104771405,9,False
saopaulo,SASRec,42,BASE,1,4316,1008,0.29543372567439913,0.37331051279295285,9,False
saopaulo,SASRec,42,BASE,2,10625,2573,0.25230212012882475,0.39357449514285064,10,False
saopaulo,SASRec,42,BASE,3,2431,1204,0.3478880258244035,0.35561813267896675,8,False
saopaulo,SASRec,42,SIT,0,6449,1093,0.25984722217987494,0.5538472730350285,9,False
saopaulo,SASRec,42,SIT,1,4316,1008,0.29509132655380266,0.37546578125519575,9,False
