dataset,backbone,seed,method,situation,n_requests,n_users,macroCatMRR,microCatMRR,n_cats_supported,low_support
kuairand,AFM,42,Steck-b,3,5869,2039,0.10392183377558206,0.26233153117935193,25,False
kuairand,FPMC,42,BASE,0,25130,10707,0.10241663420762785,0.26908800129418464,38,False
kuairand,FPMC,42,BASE,1,8005,2938,0.11770167810677795,0.2771417626891566,33,False
kuairand,FPMC,42,BASE,2,13764,7015,0.10215928715905931,0.31102461757459215,36,False
kuairand,FPMC,42,BASE,3,5869,2039,0.12648618856514401,0.2995796356536915,25,False
kuairand,FPMC,42,SIT,0,25130,10707,0.10300026762481754,0.26561365937181197,38,False
kuairand,FPMC,42,SIT,1,8005,2938,0.11655813758107929,0.27783553602483524,33,False
kuairand,FPMC,42,SIT,2,13764,7015,0.09876875457497865,0.3157904881600015,36,False
kuairand,FPMC,42,SIT,3,5869,2039,0.12383203968334745,0.3067768291479405,25,False
kuairand,FPMC,42,Steck-b,0,25130,10707,0.10480303671116087,0.2702399391657802,38,False
kuairand,FPMC,42,Steck-b,1,8005,2938,0.11798476950849018,0.2799164585681019,33,False
kuairand,FPMC,42,Steck-b,2,13764,7015,0.10343940945115883,0.31346223180682137,36,False
kuairand,FPMC,42,Steck-b,3,5869,2039,0.12621183911886774,0.3057343127600309,25,False
kuairand,SASRec,42,BASE,0,25130,10707,0.11623450236012688,0.2726388523501677,38,False
kuairand,SASRec,42,BASE,1,8005,2938,0.12566541705132198,0.2848800910720319,33,False
kuairand,SASRec,42,BASE,2,13764,7015,0.11035351960705736,0.3244500367203873,36,False
kuairand,SASRec,42,BASE,3,5869,2039,0.12692006155961974,0.3250710586771438,25,False
kuairand,SASRec,42,SIT,0,25130,10707,0.1159226227658927,0.26877421326645884,38,False
kuairand,SASRec,42,SIT,1,8005,2938,0.1250352281336437,0.28464455195099786,33,False
kuairand,SASRec,42,SIT,2,13764,7015,0.10593959045493603,0.32854010438650405,36,False
kuairand,SASRec,42,SIT,3,5869,2039,0.1230242800402632,0.32695036845887565,25,False
kuairand,SASRec,42,Steck-b,0,25130,10707,0.1169113874448466,0.27356737167570444,38,False
kuairand,SASRec,42,Steck-b,1,8005,2938,0.12586392905248536,0.2862337399013901,33,False
kuairand,SASRec,42,Steck-b,2,13764,7015,0.1108717287603304,0.3261498011221808,36,False
kuairand,SASRec,42,Steck-b,3,5869,2039,0.12707716581736744,0.3271460514789912,25,False
kuairand,B_blind,43,BASE,0,5856,1930,0.11422897069320047,0.28756850015819146,25,False
kuairand,B_blind,43,BASE,1,24951,10619,0.08531145693766012,0.2652003210065402,38,False
kuairand,B_blind,43,BASE,2,8055,2827,0.0995833907752485,0.2734392607738394,33,False
kuairand,B_blind,43,BASE,3,13906,7113,0.08749305557389267,0.2990544444856992,36,False
kuairand,B_blind,43,SIT,0,5856,1930,0.11060079988763535,0.30060031949352023,25,False
kuairand,B_blind,43,SIT,1,24951,10619,0.08646314448322892,0.2575855941184415,38,False
kuairand,B_blind,43,SIT,2,8055,2827,0.10081868654929156,0.27510650802042896,33,False
kuairand,B_blind,43,SIT,3,13906,7113,0.08019719607500135,0.3084038604154456,36,False
kuairand,B_blind,43,Steck-b,0,5856,1930,0.11581917657946995,0.3022277540725517,25,False
kuairand,B_blind,43,Steck-b,1,24951,10619,0.09239436611655451,0.268023344963271,38,False
kuairand,B_blind,43,Steck-b,2,8055,2827,0.10357849740438226,0.28225775662730473,33,False
kuairand,B_blind,43,Steck-b,3,13906,7113,0.09382664620274637,0.30425641443041995,36,False
kuairand,B_full,43,BASE,0,5856,1930,0.11177278586389107,0.28992555500624145,25,False
kuairand,B_full,43,BASE,1,24951,10619,0.07973960560294757,0.2608129704896054,38,False
kuairand,B_full,43,BASE,2,8055,2827,0.09137755358470917,0.2599228088394625,33,False
kuairand,B_full,43,BASE,3,13906,7113,0.07747024012095823,0.3267599610132974,36,False
kuairand,B_full,43,SIT,0,5856,1930,0.11033256847489327,0.2948820109541787,25,False
kuairand,B_full,43,SIT,1,24951,10619,0.0798902996201506,0.25825329759240995,38,False
kuairand,B_full,43,SIT,2,8055,2827,0.09154254944778582,0.2594086374267088,33,False
kuairand,B_full,43,SIT,3,13906,7113,0.07494503091111689,0.3327271110787976,36,False
kuairand,B_full,43,Steck-b,0,5856,1930,0.11380016180291667,0.3065780686816546,25,False
kuairand,B_full,43,Steck-b,1,24951,10619,0.08678526087118027,0.27274625346293335,38,False
kuairand,B_full,43,Steck-b,2,8055,2827,0.09522829613869802,0.27091424495466554,33,False
kuairand,B_full,43,Steck-b,3,13906,7113,0.08305043286326798,0.3394191258575588,36,False
kuairand,EASE,43,BASE,0,5856,1930,0.10673315898699656,0.26703931381193413,25,False
kuairand,EASE,43,BASE,1,24951,10619,0.08052297116758003,0.26663006845580706,38,False
kuairand,EASE,43,BASE,2,8055,2827,0.08845331276981444,0.2640980868932495,33,False
kuairand,EASE,43,BASE,3,13906,7113,0.08457988712004583,0.3011847280889304,36,False
kuairand,EASE,43,SIT,0,5856,1930,0.08966994647476804,0.2988049538791137,25,False
kuairand,EASE,43,SIT,1,24951,10619,0.08170128732045427,0.2392013640205522,38,False
kuairand,EASE,43,SIT,2,8055,2827,0.09163884005709996,0.27073958976624574,33,False
kuairand,EASE,43,SIT,3,13906,7113,0.05985642319569995,0.3108047170931635,36,False
kuairand,EASE,43,Steck-b,0,5856,1930,0.10713747569812063,0.27257874655189623,25,False
kuairand,EASE,43,Steck-b,1,24951,10619,0.08858642727005037,0.23773585324878024,38,False
kuairand,EASE,43,Steck-b,2,8055,2827,0.09533432622837557,0.25676803466177694,33,False
kuairand,EASE,43,Steck-b,3,13906,7113,0.08829700042177795,0.26640007329374715,36,False
kuairand,DeepFM,43,BASE,0,5856,1930,0.11121855947499291,0.2259080068300309,25,False
kuairand,DeepFM,43,BASE,1,24951,10619,0.07995796449437333,0.22714837276622726,38,False
kuairand,DeepFM,43,BASE,2,8055,2827,0.09043507965423508,0.22019386458707935,33,False
kuairand,DeepFM,43,BASE,3,13906,7113,0.07872143462063949,0.26098196936989493,36,False
kuairand,DeepFM,43,SIT,0,5856,1930,0.10269676951840274,0.26525535065210576,25,False
kuairand,DeepFM,43,SIT,1,24951,10619,0.08096783484729134,0.21600721834435022,38,False
kuairand,DeepFM,43,SIT,2,8055,2827,0.09059522057819397,0.22040273645729944,33,False
kuairand,DeepFM,43,SIT,3,13906,7113,0.06635629805709045,0.2980418797507324,36,False
kuairand,DeepFM,43,Steck-b,0,5856,1930,0.11532757770237818,0.24986824601772592,25,False
kuairand,DeepFM,43,Steck-b,1,24951,10619,0.08946592622036258,0.23629870613813475,38,False
kuairand,DeepFM,43,Steck-b,2,8055,2827,0.09635135347423351,0.23459825968242612,33,False
kuairand,DeepFM,43,Steck-b,3,13906,7113,0.08788638531041348,0.28121184492801315,36,False
kuairand,AFM,43,BASE,0,5856,1930,0.0987727706652053,0.23370114051185978,25,False
kuairand,AFM,43,BASE,1,24951,10619,0.06465994597988717,0.2700400041610463,38,False
kuairand,AFM,43,BASE,2,8055,2827,0.0757084510222255,0.2555605772046366,33,False
kuairand,AFM,43,BASE,3,13906,7113,0.06909384200091231,0.2901789611313398,36,False
kuairand,AFM,43,SIT,0,5856,1930,0.09650248301527328,0.2762050814069879,25,False
kuairand,AFM,43,SIT,1,24951,10619,0.06653639944379387,0.259308464519566,38,False
kuairand,AFM,43,SIT,2,8055,2827,0.07735484082231127,0.2602207285650448,33,False
kuairand,AFM,43,SIT,3,13906,7113,0.05814804935728953,0.32331844046334113,36,False
kuairand,AFM,43,Steck-b,0,5856,1930,0.10414827063513937,0.2614557044563242,25,False
kuairand,AFM,43,Steck-b,1,24951,10619,0.07228571523214926,0.2853150053114498,38,False
kuairand,AFM,43,Steck-b,2,8055,2827,0.0827639176590974,0.2737095225064666,33,False
kuairand,AFM,43,Steck-b,3,13906,7113,0.07767807126613695,0.31992398918918685,36,False
kuairand,FPMC,43,BASE,0,5856,1930,0.12885415573186645,0.2996954681446897,25,False
kuairand,FPMC,43,BASE,1,24951,10619,0.10238623038941526,0.2688508399649977,38,False
kuairand,FPMC,43,BASE,2,8055,2827,0.11768242603102036,0.2773677824127254,33,False
kuairand,FPMC,43,BASE,3,13906,7113,0.10206734537298663,0.3108417621200416,36,False
kuairand,FPMC,43,SIT,0,5856,1930,0.1261936058163851,0.30697978939855175,25,False
kuairand,FPMC,43,SIT,1,24951,10619,0.10293834877585939,0.26541489106915644,38,False
kuairand,FPMC,43,SIT,2,8055,2827,0.11640654367510272,0.2772970423729428,33,False
