dataset,backbone,method,min_rawlsiano,quartile_basso,divario,media,min_lo,q25_lo,divario_lo,media_lo,min_hi,q25_hi,divario_hi,media_hi
saopaulo,B_blind,BASE,0.18273683413516306,0.18813220739628939,-0.020759231251010583,0.20349606538617365,0.17858895270432468,0.18509191262371935,-0.030183802779264142,0.19841885552353294,0.18970346976526048,0.19888201716700116,-0.014605465973020836,0.21343622417336988
saopaulo,B_blind,SIT,0.1675020475633331,0.1765601641131093,-0.03034030334221287,0.19784235090554597,0.15995993193349403,0.17506656617134034,-0.040771147353739545,0.1925894676712782,0.17750872273552132,0.1871162074974738,-0.020999172523857038,0.20677319738260588
saopaulo,B_blind,Steck-b,0.24418566852856394,0.2629484714746965,-0.03446250629384833,0.2786481748224123,0.233101123784635,0.25440333912186086,-0.048693147548672384,0.26949853440357363,0.2554919352090644,0.2711293557226427,-0.022240737478467495,0.29139775507517474
saopaulo,B_full,BASE,0.29215925356499894,0.34459543819980565,-0.07107292322991195,0.3632321767949109,0.27661739127480084,0.32189871077159066,-0.08477884698802163,0.3459317857664809,0.31380693812417093,0.3598857007305986,-0.05398278003914211,0.38013407851816344
saopaulo,B_full,SIT,0.2574985486793932,0.3317763514568301,-0.09412577553732694,0.3516243242167202,0.24341699345969467,0.30461164933807894,-0.10861581480443988,0.3347473094802122,0.2785484993876348,0.346915728535711,-0.0735994496937498,0.3656501758752192
saopaulo,B_full,Steck-b,0.29953972445968335,0.3621300897489497,-0.08238172209435499,0.38192144655403837,0.2842542238672036,0.33630741142013404,-0.09571536194469657,0.36754977866480176,0.31973787410553567,0.37738506316826964,-0.06193130141690726,0.39661247139333916
saopaulo,EASE,BASE,0.18392790100260978,0.18751808719509847,-0.018813739202677454,0.20274164020528723,0.17831908206447464,0.1854718995945496,-0.028743863770205633,0.19857821381695862,0.1893740988190571,0.1983233830862799,-0.014749817820806595,0.21168150332495145
saopaulo,EASE,SIT,0.13828134202064646,0.16796297599532667,-0.04663459106699471,0.18491593308764115,0.13086121790817315,0.16512638888931994,-0.05850597904250088,0.17858436071912567,0.14791735113424667,0.17728730278329882,-0.03443239343138944,0.19448502075083945
saopaulo,EASE,Steck-b,0.2293532159814912,0.256575243318322,-0.040927074549155076,0.2702802905306463,0.22054503670604073,0.24539242204352388,-0.05212740629117566,0.2620067613965145,0.2412097404234978,0.2624158463006123,-0.02858391035715014,0.28205807343489747
saopaulo,DeepFM,BASE,0.17561029359976732,0.18204235200660018,-0.02330268050588898,0.19891297410565628,0.1693037681199674,0.17887111759795032,-0.031358465619905095,0.19382110320312992,0.18423267144510713,0.19129298564050431,-0.015090922620223948,0.20728602142567987
saopaulo,DeepFM,SIT,0.16340526632693866,0.17073721290857044,-0.031721893131189324,0.195127159458128,0.15400043615725498,0.16248866739432963,-0.04207052260295858,0.1883987617715864,0.17441010332184667,0.18380459020830958,-0.023605702671842938,0.20474210608076612
saopaulo,DeepFM,Steck-b,0.22045136689919237,0.26163582397388374,-0.06421097006408906,0.2846623369632814,0.2093552060436864,0.23950393342941897,-0.07648964390821239,0.2702298075921936,0.23402507626189858,0.27236106851673036,-0.04911861727692991,0.29661387784678794
saopaulo,AFM,BASE,0.17801467574128013,0.18748678496579924,-0.03257586930975422,0.21059054505103436,0.17128035182143314,0.18554221381533065,-0.043025277864013896,0.20421545684398726,0.18662318525349145,0.19805657387034942,-0.02281891213277888,0.22315048129945808
saopaulo,AFM,SIT,0.14767422763070798,0.1985689835050693,-0.06966679594508587,0.21734102357579382,0.14140233872003433,0.19271622133645996,-0.08119493277679639,0.21083483116443846,0.15701202605909773,0.20873229690351475,-0.05712710727840507,0.22759156265907615
saopaulo,AFM,Steck-b,0.23195637304768146,0.29597488859766036,-0.08672786978783038,0.3186842428355118,0.22411912755038305,0.2784395468928149,-0.09852679702259749,0.3049300851745134,0.24797392531910278,0.30586132502024865,-0.06833495116880682,0.33516303731204344
saopaulo,FPMC,BASE,0.24987676522638816,0.271199642934593,-0.039284487557866524,0.28916125278425464,0.24770572680184386,0.262634537898675,-0.04417505761502597,0.2812174122697699,0.2658787375162954,0.28044807382772385,-0.023774735938999092,0.2981810518739803
saopaulo,FPMC,SIT,0.2384906594257254,0.2454234954182893,-0.039064242096249105,0.2775549015219745,0.2305113884137845,0.2422188487137711,-0.048058251534112244,0.2698827009025821,0.24915375850163154,0.2596851190752386,-0.028949377677785704,0.28689568702567086
saopaulo,FPMC,Steck-b,0.30770023395231033,0.3161398105634383,-0.033994652450953435,0.3416948864032638,0.2953833037905986,0.31027004587946677,-0.04989753656413928,0.33339293027533684,0.31627837793057545,0.33025898108431945,-0.026229007806116818,0.3531497833707145
saopaulo,SASRec,BASE,0.25557164371543034,0.28664107826087737,-0.04742167271804001,0.30299331643347027,0.2537642857467418,0.27738665589171113,-0.05296120426972556,0.2958368477404794,0.2751652513554488,0.29469747296441096,-0.02946859583933209,0.31270844665288633
saopaulo,SASRec,SIT,0.24419564021703705,0.2592849361385806,-0.04599561740951631,0.29019125762655334,0.24086473971636183,0.2546953445486226,-0.051901388555323724,0.2832592512432872,0.2588297115892768,0.2712940180361612,-0.032116252348435265,0.2997102547151356
saopaulo,SASRec,Steck-b,0.3135120598746659,0.3248201875370583,-0.03965746873408406,0.35316952860874995,0.3020409398535075,0.317147398148546,-0.054094015452421686,0.3425577059308873,0.32502944262497846,0.34002318915092455,-0.029036562406583442,0.3680383168275051
