dataset,backbone,method,min_rawlsiano,quartile_basso,divario,media,min_lo,q25_lo,divario_lo,media_lo,min_hi,q25_hi,divario_hi,media_hi
ml1m,B_blind,BASE,0.12147327942910839,0.12316796581135962,-0.009181338495562038,0.13065461792467042,0.11825369673942807,0.123179540851408,-0.01356727754005932,0.12951146331780744,0.12336224664119655,0.12897836601039275,-0.008152208105697686,0.13373000451509334
ml1m,B_blind,SIT,0.11092547702550778,0.11686798074362485,-0.014205405812103996,0.12513088283761178,0.1090352149861643,0.11402456208654095,-0.016187049451964898,0.12405295322934756,0.11548982176184938,0.11982707179164294,-0.011132736350621175,0.12822677413021857
ml1m,B_blind,Steck-b,0.12213882534291512,0.12293448231754019,-0.008652228952553045,0.13079105429546817,0.11876118193973208,0.12294847886395055,-0.013061361907020827,0.12941130998835615,0.1237368383467815,0.1290107552726529,-0.008008216738034753,0.13412746294040126
ml1m,B_full,BASE,0.09207804749538687,0.21297451459339906,-0.11601419397048067,0.20809224146586755,0.08882182501445215,0.20602557195377882,-0.12007632585647353,0.20415771719270057,0.09688458179920731,0.22058388991283107,-0.10965617761657075,0.2113985793563289
ml1m,B_full,SIT,0.09181233748033234,0.2037435301260108,-0.11248346966304754,0.2042958071433799,0.08857464502718132,0.19398950962905862,-0.11628931097412562,0.20049318533385613,0.09666649970931489,0.2103751531255727,-0.10689304983541459,0.2082241452247033
ml1m,B_full,Steck-b,0.09264499953392334,0.2115043451565521,-0.11463379410387549,0.20727879363779883,0.08967192236101003,0.20576120394487532,-0.11846120225149684,0.20338098445719496,0.09790781492836234,0.22010793147062968,-0.10803774024249943,0.21097643493939747
ml1m,EASE,BASE,0.12346296187446781,0.1316795731857263,-0.01181351741379343,0.13527647928826125,0.12334748890577699,0.12901078338076133,-0.012735486541693196,0.13427534398761704,0.12999202422937842,0.13370643382766792,-0.006846961187177478,0.1383482641294388
ml1m,EASE,SIT,0.11070074392399984,0.11394511582196629,-0.017015987626171934,0.12771673155017177,0.10845638575657514,0.1131426426184154,-0.019729358004632273,0.12668763157157895,0.11466330282654105,0.12063662599255358,-0.014579712032796103,0.1303798373853916
ml1m,EASE,Steck-b,0.12436681384303776,0.1336112951941079,-0.012307416361596293,0.13667423020463404,0.12458399433549114,0.13046359193386078,-0.012607053219951569,0.13544597793915766,0.1308210609392263,0.13502069683504378,-0.007133193622124219,0.13954290618762638
ml1m,DeepFM,BASE,0.09553417534394035,0.20335346819079664,-0.1082233070510233,0.20375748239496363,0.09266310667040226,0.19768730555620967,-0.11237130630294433,0.20022807254278213,0.09999271036667512,0.21238701376366473,-0.10289948686136186,0.2076283407639671
ml1m,DeepFM,SIT,0.09449463683961859,0.20151580982957884,-0.10865418923410139,0.20314882607371998,0.09186471012613329,0.193885699042232,-0.11252219432278522,0.19973439715726893,0.09933262076624608,0.20872929355986797,-0.1030660412278953,0.2067515585881218
ml1m,DeepFM,Steck-b,0.09667449168246924,0.20290958919312577,-0.10612542716560769,0.20279991884807697,0.09394656459168393,0.1974772203065487,-0.1096513721326928,0.19923144854026764,0.10173477885735428,0.21213510831264695,-0.10014701179105186,0.2065310126750755
ml1m,AFM,BASE,0.0951239705843887,0.19168377013324894,-0.0960990803416781,0.19122305092606678,0.09300766772263058,0.18631563740974108,-0.09932158642627903,0.18805087114074995,0.09952582270032745,0.20103231792924378,-0.09104962192741256,0.19481772187727267
ml1m,AFM,SIT,0.09236881954348605,0.17896401443957646,-0.09519980165155303,0.1875686211950391,0.09038803406477146,0.16874453355803576,-0.09845141379288222,0.18406798575017264,0.09714837157730127,0.18378281256473236,-0.08984814809337208,0.1912025069042557
ml1m,AFM,Steck-b,0.09920510388034634,0.18901612459132985,-0.08883761934070303,0.18804272322104937,0.0967295660775444,0.18363531818992435,-0.09228046222799692,0.1851437787901159,0.1044104631169269,0.19742258449411576,-0.08374798354843216,0.19155017121926352
ml1m,FPMC,BASE,0.1813351615906996,0.26599579187556627,-0.08647621252170634,0.26781137411240596,0.1732950371002378,0.2598782379274444,-0.09399143972557127,0.2630021044297455,0.18672220068040385,0.2739076226797802,-0.08091970658864327,0.2711165029587379
ml1m,FPMC,SIT,0.18582044195960598,0.25565880741913233,-0.07895017424749254,0.2647706162070985,0.1756353861852453,0.24797422916653403,-0.08684685551572979,0.25978298065445926,0.19087196450371632,0.2621969037234085,-0.07357619006519489,0.26758292725775457
ml1m,FPMC,Steck-b,0.18147351467654055,0.26449285951471047,-0.08496216670404695,0.26643568138058754,0.17372721697466367,0.258387519328065,-0.09173654887513641,0.2618640035231064,0.187218883200983,0.2711177585626367,-0.0787644513464147,0.2698482174053899
ml1m,SASRec,BASE,0.26442487342117527,0.309813046793407,-0.059930807131401406,0.32435568055257674,0.2577278645670537,0.30361197702065656,-0.0654022573413815,0.3192035646409165,0.27270629801586127,0.3192052861456853,-0.051925434614284414,0.32870684872601397
ml1m,SASRec,SIT,0.26593513465153,0.3062388559551711,-0.057177602423909735,0.32311273707543975,0.2578161917497005,0.30066231043251107,-0.06354781197029948,0.3175063533715453,0.273814758055314,0.31470252184169345,-0.048727607426445364,0.3268212359648512
ml1m,SASRec,Steck-b,0.2644192643794634,0.3062721141492054,-0.05749702489557808,0.32191628927504146,0.2569609925473901,0.30022607215582836,-0.06423553313051672,0.317559914536024,0.27282929953482177,0.3146449860218559,-0.04929114947765398,0.3262759967797046
