dataset,backbone,seed,method,situation,n_requests,n_users,macroCatMRR,microCatMRR,n_cats_supported,low_support
ml1m,DeepFM,42,Steck-b,4,25786,1910,0.23046762403746893,0.36558686887814573,17,False
ml1m,AFM,42,BASE,0,31819,2372,0.19168377013324905,0.45390208799701753,18,False
ml1m,AFM,42,BASE,1,17935,1911,0.24994696792258442,0.3784264103135872,17,False
ml1m,AFM,42,BASE,2,12814,1165,0.20411011412384986,0.5810503741859947,16,False
ml1m,AFM,42,BASE,3,8845,1904,0.09518066274795023,0.4174748434643129,17,False
ml1m,AFM,42,BASE,4,25786,1910,0.21529427119773747,0.36808429195320475,17,False
ml1m,AFM,42,SIT,0,31819,2372,0.1789529347179872,0.4654308269070444,18,False
ml1m,AFM,42,SIT,1,17935,1911,0.2659040224506015,0.37235196073369975,17,False
ml1m,AFM,42,SIT,2,12814,1165,0.18129332178945984,0.6049484349656516,16,False
ml1m,AFM,42,SIT,3,8845,1904,0.09241184676262038,0.4103061601912774,17,False
ml1m,AFM,42,SIT,4,25786,1910,0.2193747426090776,0.38464628655996047,17,False
ml1m,AFM,42,Steck-b,0,31819,2372,0.18901609538759517,0.4591797083700944,18,False
ml1m,AFM,42,Steck-b,1,17935,1911,0.24305064722393457,0.38125622534330433,17,False
ml1m,AFM,42,Steck-b,2,12814,1165,0.19885948438065365,0.5843447535011289,16,False
ml1m,AFM,42,Steck-b,3,8845,1904,0.09924715123810529,0.42466466185609253,17,False
ml1m,AFM,42,Steck-b,4,25786,1910,0.2101237084633992,0.3746622266467039,17,False
ml1m,FPMC,42,BASE,0,31819,2372,0.26599579187556643,0.4946199066275598,18,False
ml1m,FPMC,42,BASE,1,17935,1911,0.3298711060978526,0.42558669766902585,17,False
ml1m,FPMC,42,BASE,2,12814,1165,0.28620527593155337,0.6170598845496152,16,False
ml1m,FPMC,42,BASE,3,8845,1904,0.18153318758341377,0.45170299931601815,17,False
ml1m,FPMC,42,BASE,4,25786,1910,0.27562902748584855,0.42426536203021986,17,False
ml1m,FPMC,42,SIT,0,31819,2372,0.255662284098341,0.502900689711968,18,False
ml1m,FPMC,42,SIT,1,17935,1911,0.3387452001158605,0.4146197987373055,17,False
ml1m,FPMC,42,SIT,2,12814,1165,0.26861305133863245,0.6262294023406927,16,False
ml1m,FPMC,42,SIT,3,8845,1904,0.186021780834455,0.4468103434725926,17,False
ml1m,FPMC,42,SIT,4,25786,1910,0.2749773100828239,0.43283869909190037,17,False
ml1m,FPMC,42,Steck-b,0,31819,2372,0.2644928595147106,0.49395950485778845,18,False
ml1m,FPMC,42,Steck-b,1,17935,1911,0.3273758825377279,0.4252431613067878,17,False
ml1m,FPMC,42,Steck-b,2,12814,1165,0.28524124346447827,0.6176865531976159,16,False
ml1m,FPMC,42,Steck-b,3,8845,1904,0.18166929797549572,0.45226706622811624,17,False
ml1m,FPMC,42,Steck-b,4,25786,1910,0.273575787999866,0.4227449402685625,17,False
ml1m,SASRec,42,BASE,0,31819,2372,0.309813046793407,0.5412777312466223,18,False
ml1m,SASRec,42,BASE,1,17935,1911,0.3837362208217331,0.4694116660051913,17,False
ml1m,SASRec,42,BASE,2,12814,1165,0.3441422151383809,0.6546654247112118,16,False
ml1m,SASRec,42,BASE,3,8845,1904,0.26444637724306863,0.5002206920356616,17,False
ml1m,SASRec,42,BASE,4,25786,1910,0.31969729773788425,0.48781987901886986,17,False
ml1m,SASRec,42,SIT,0,31819,2372,0.3062345389617317,0.541837584635923,18,False
ml1m,SASRec,42,SIT,1,17935,1911,0.38737448071460484,0.4657319609504669,17,False
ml1m,SASRec,42,SIT,2,12814,1165,0.3382457798029873,0.6557711950777826,16,False
ml1m,SASRec,42,SIT,3,8845,1904,0.26595608345509275,0.4989461835094327,17,False
ml1m,SASRec,42,SIT,4,25786,1910,0.31780770410090103,0.4869807098379032,17,False
ml1m,SASRec,42,Steck-b,0,31819,2372,0.3062720920556032,0.5430825436482513,18,False
ml1m,SASRec,42,Steck-b,1,17935,1911,0.3825397172975332,0.47155305698564326,17,False
ml1m,SASRec,42,Steck-b,2,12814,1165,0.34010626291368085,0.6556006488863522,16,False
ml1m,SASRec,42,Steck-b,3,8845,1904,0.2644378150238878,0.501353161222442,17,False
ml1m,SASRec,42,Steck-b,4,25786,1910,0.3162803099165191,0.48885874487334174,17,False
ml1m,B_blind,43,BASE,0,31819,2372,0.12316796581135964,0.3722851119629501,18,False
ml1m,B_blind,43,BASE,1,8817,1904,0.13481847171994613,0.3735634263880824,17,False
ml1m,B_blind,43,BASE,2,25786,1910,0.12147327942910839,0.3268737313201645,17,False
ml1m,B_blind,43,BASE,3,12812,1164,0.143970928222859,0.44406917106505955,16,False
ml1m,B_blind,43,BASE,4,17965,1912,0.12998000032556328,0.31711387190591894,17,False
ml1m,B_blind,43,SIT,0,31819,2372,0.11092347786361328,0.4090589431313064,18,False
ml1m,B_blind,43,SIT,1,8817,1904,0.13849000138875056,0.38052389263485475,17,False
ml1m,B_blind,43,SIT,2,25786,1910,0.11896283018163946,0.34435616624622306,17,False
ml1m,B_blind,43,SIT,3,12812,1164,0.11705664942113773,0.5329397979284822,16,False
ml1m,B_blind,43,SIT,4,17965,1912,0.1404589359034569,0.29618708424030993,17,False
ml1m,B_blind,43,Steck-b,0,31819,2372,0.1229344823175402,0.3696425757267279,18,False
ml1m,B_blind,43,Steck-b,1,8817,1904,0.135009031943181,0.3688143852209866,17,False
ml1m,B_blind,43,Steck-b,2,25786,1910,0.12213897870291775,0.3261670185108672,17,False
ml1m,B_blind,43,Steck-b,3,12812,1164,0.1440718330271823,0.44388631306793297,16,False
ml1m,B_blind,43,Steck-b,4,17965,1912,0.1299443848670495,0.3155658575516956,17,False
ml1m,B_full,43,BASE,0,31819,2372,0.21591624499547887,0.45247240195645144,18,False
ml1m,B_full,43,BASE,1,8817,1904,0.09220043265986864,0.4111109907772991,17,False
