dataset,backbone,seed,method,situation,n_requests,n_users,macroCatMRR,microCatMRR,n_cats_supported,low_support
nyc_tist,EASE,42,SIT,2,1154,225,0.14426229508196722,0.5071057192374351,7,False
nyc_tist,EASE,42,SIT,3,3716,986,0.1592483764775931,0.35165686278657504,9,False
nyc_tist,EASE,42,SIT,4,254,72,0.2885325653676,0.3353797465336373,4,False
nyc_tist,EASE,42,SIT,5,1531,433,0.18194566983106966,0.33818639133014083,7,False
nyc_tist,EASE,42,SIT,6,1946,457,0.16129097869729228,0.284421900716996,7,False
nyc_tist,EASE,42,SIT,7,2981,799,0.19960862197252227,0.24306773613731095,9,False
nyc_tist,EASE,42,Steck-b,0,3146,757,0.28443067827419366,0.2960587382779232,9,False
nyc_tist,EASE,42,Steck-b,1,2974,695,0.30046046213441013,0.3026499193086916,9,False
nyc_tist,EASE,42,Steck-b,2,1154,225,0.25297114797104475,0.5154506125088996,7,False
nyc_tist,EASE,42,Steck-b,3,3716,986,0.304482426514985,0.257502751245732,9,False
nyc_tist,EASE,42,Steck-b,4,254,72,0.25241521773182957,0.29483203804069946,4,False
nyc_tist,EASE,42,Steck-b,5,1531,433,0.2893867989915539,0.37658348185010276,7,False
nyc_tist,EASE,42,Steck-b,6,1946,457,0.28607089493373344,0.3440947537450764,7,False
nyc_tist,EASE,42,Steck-b,7,2981,799,0.3176159068907703,0.29137249241273644,9,False
nyc_tist,DeepFM,42,BASE,0,3146,757,0.24503713515541165,0.28597204444252217,9,False
nyc_tist,DeepFM,42,BASE,1,2974,695,0.2823525354500279,0.26012138805573287,9,False
nyc_tist,DeepFM,42,BASE,2,1154,225,0.3005865052216437,0.5220776416198116,7,False
nyc_tist,DeepFM,42,BASE,3,3716,986,0.27642575315734635,0.24190239612951456,9,False
nyc_tist,DeepFM,42,BASE,4,254,72,0.3368842062145556,0.3292008460946321,4,False
nyc_tist,DeepFM,42,BASE,5,1531,433,0.2977959604903195,0.36736937529404057,7,False
nyc_tist,DeepFM,42,BASE,6,1946,457,0.27744851146199545,0.3189051112440044,7,False
nyc_tist,DeepFM,42,BASE,7,2981,799,0.26989612691741827,0.2797248026240884,9,False
nyc_tist,DeepFM,42,SIT,0,3146,757,0.12429254587846285,0.30576577596508303,9,False
nyc_tist,DeepFM,42,SIT,1,2974,695,0.13455422114670454,0.2999929756263545,9,False
nyc_tist,DeepFM,42,SIT,2,1154,225,0.14299920787987325,0.5061709909266999,7,False
nyc_tist,DeepFM,42,SIT,3,3716,986,0.19115154133408402,0.3422920754013945,9,False
nyc_tist,DeepFM,42,SIT,4,254,72,0.29679892576393424,0.3382327969804506,4,False
nyc_tist,DeepFM,42,SIT,5,1531,433,0.19578292249244358,0.3424283553738821,7,False
nyc_tist,DeepFM,42,SIT,6,1946,457,0.15407537577328917,0.2712588584232489,7,False
nyc_tist,DeepFM,42,SIT,7,2981,799,0.2279735517512573,0.23424542811088456,9,False
nyc_tist,DeepFM,42,Steck-b,0,3146,757,0.30599919476234105,0.342086038087841,9,False
nyc_tist,DeepFM,42,Steck-b,1,2974,695,0.34149867417087676,0.3198606176801881,9,False
nyc_tist,DeepFM,42,Steck-b,2,1154,225,0.2839437633758967,0.5196268349752193,7,False
nyc_tist,DeepFM,42,Steck-b,3,3716,986,0.32349237620410265,0.27831928112399845,9,False
nyc_tist,DeepFM,42,Steck-b,4,254,72,0.28993092067592724,0.31169123578803987,4,False
nyc_tist,DeepFM,42,Steck-b,5,1531,433,0.32211214299054963,0.3784998503648974,7,False
nyc_tist,DeepFM,42,Steck-b,6,1946,457,0.2933030109582707,0.3407753149574509,7,False
nyc_tist,DeepFM,42,Steck-b,7,2981,799,0.3278127081496621,0.3055494321638103,9,False
nyc_tist,AFM,42,BASE,0,3146,757,0.18431404934071569,0.15738839027954746,9,False
nyc_tist,AFM,42,BASE,1,2974,695,0.18387445140693462,0.19737157406858283,9,False
nyc_tist,AFM,42,BASE,2,1154,225,0.1945759217263194,0.5182989127782544,7,False
nyc_tist,AFM,42,BASE,3,3716,986,0.18225849113066012,0.18224007828623737,9,False
nyc_tist,AFM,42,BASE,4,254,72,0.3063362450898252,0.3483310468598491,4,False
nyc_tist,AFM,42,BASE,5,1531,433,0.21342656329147275,0.35207844980756664,7,False
nyc_tist,AFM,42,BASE,6,1946,457,0.2201462453796364,0.2978253133517444,7,False
nyc_tist,AFM,42,BASE,7,2981,799,0.1837004615796797,0.19344584318771976,9,False
nyc_tist,AFM,42,SIT,0,3146,757,0.15660709661693628,0.31451500235206853,9,False
nyc_tist,AFM,42,SIT,1,2974,695,0.12885774179628015,0.303405097724233,9,False
nyc_tist,AFM,42,SIT,2,1154,225,0.14676989152697714,0.5086034130271498,7,False
nyc_tist,AFM,42,SIT,3,3716,986,0.1986847348604647,0.38187620217189855,9,False
nyc_tist,AFM,42,SIT,4,254,72,0.2964785537238197,0.3449012781516255,4,False
nyc_tist,AFM,42,SIT,5,1531,433,0.178125113628613,0.33979684962545875,7,False
nyc_tist,AFM,42,SIT,6,1946,457,0.1697334507962971,0.29455235473701546,7,False
nyc_tist,AFM,42,SIT,7,2981,799,0.19819594980241645,0.23603540717113727,9,False
nyc_tist,AFM,42,Steck-b,0,3146,757,0.33227311154794104,0.3150915149134176,9,False
nyc_tist,AFM,42,Steck-b,1,2974,695,0.325238506674046,0.3188753544531744,9,False
nyc_tist,AFM,42,Steck-b,2,1154,225,0.23253066766551708,0.5140260944216161,7,False
nyc_tist,AFM,42,Steck-b,3,3716,986,0.3283083898551868,0.28715778772421324,9,False
nyc_tist,AFM,42,Steck-b,4,254,72,0.2604290122392028,0.2982420025605223,4,False
nyc_tist,AFM,42,Steck-b,5,1531,433,0.2800193736880216,0.37917641901584187,7,False
nyc_tist,AFM,42,Steck-b,6,1946,457,0.2995966382358072,0.35780087984033365,7,False
