dataset,T_size,gamma,n_richieste,delta,base,ci_lo,ci_hi
nyc_tist,1,1.0,13312,0.06423,0.28838,0.05796,0.07042
nyc_tist,2,0.5,3282,0.02618,0.25371,0.02103,0.03185
nyc_tist,3,0.3333,988,0.01048,0.26832,0.00466,0.01574
nyc_tist,4+,0.25,119,0.00072,0.28119,,
