dataset,T_size,gamma,n_richieste,delta,base,ci_lo,ci_hi
saopaulo,1,1.0,18739,0.03677,0.36939,0.03099,0.04153
saopaulo,2,0.5,4589,0.00414,0.34901,0.00029,0.0097
saopaulo,3,0.3333,491,-0.00287,0.36583,-0.01925,0.01316
saopaulo,4+,0.25,1,0.0,1.0,,
