city,K,eps,baseline,CatMRR,CatNDCG,JS_user,R20,d_SIT-Steck-b,CI_Steck-b,pholm_Steck-b,d_SIT-Steck-a,CI_Steck-a,pholm_Steck-a,d_SIT-UNI_mean,CI_UNI_mean,pholm_UNI_mean,d_SIT-BASE,CI_BASE,pholm_BASE
mind,3,0.02,BASE,0.35229,0.44421,0.24569,0.04323,,,,,,,,,,,,
mind,3,0.02,UNI_mean,0.34825,0.43958,0.24819,0.04194,,,,,,,,,,,,
mind,3,0.02,SIT,0.3321,0.42242,0.26528,0.04274,-0.01742,"[-0.01882,-0.01608]",0.0,-0.10332,"[-0.10507,-0.10152]",0.0,-0.01616,"[-0.01744,-0.01486]",0.0,-0.02019,"[-0.02148,-0.01900]",0.0
mind,3,0.02,Steck-b,0.34952,0.43443,0.17183,0.04646,,,,,,,,,,,,
mind,3,0.02,Steck-a,0.43542,0.50968,0.04004,0.04759,,,,,,,,,,,,
