city,K,eps,baseline,CatMRR,CatNDCG,JS_user,R20,d_SIT-Steck-b,CI_Steck-b,pholm_Steck-b,d_SIT-Steck-a,CI_Steck-a,pholm_Steck-a,d_SIT-UNI_mean,CI_UNI_mean,pholm_UNI_mean,d_SIT-BASE,CI_BASE,pholm_BASE
ml1m,3,0.07,BASE,0.35962,0.45119,0.12593,0.10441,,,,,,,,,,,,
ml1m,3,0.07,UNI_mean,0.35781,0.4501,0.12606,0.10416,,,,,,,,,,,,
ml1m,3,0.07,SIT,0.37426,0.46187,0.14545,0.10842,0.02401,"[+0.02268,+0.02525]",0.0,-0.11981,"[-0.12178,-0.11780]",0.0,0.01645,"[+0.01516,+0.01777]",0.0,0.01464,"[+0.01332,+0.01590]",0.0
ml1m,3,0.07,Steck-b,0.35025,0.4377,0.12766,0.1051,,,,,,,,,,,,
ml1m,3,0.07,Steck-a,0.49407,0.58479,0.04653,0.10402,,,,,,,,,,,,
