dataset,situation,n_users,dev_median,wilcoxon_p,ci_lo,ci_hi,note
nyc_tist,0,139,0.0,0.6332025698824737,0.0,0.01984126984126984,
nyc_tist,1,52,-0.01893939393939393,0.889239615399828,-0.06252976190476191,0.009285714285714286,
nyc_tist,2,7,,,,,n<8
nyc_tist,3,160,0.0,0.6286817618494271,-0.01984126984126984,0.004304029304029303,
nyc_tist,4,0,,,,,n<8
nyc_tist,5,116,0.0,0.42602562988574166,0.0,0.016666666666666663,
nyc_tist,6,45,0.0,0.19726940472538446,-0.06746031746031746,0.01818181818181818,
nyc_tist,7,103,0.0,0.6811933450107686,-0.008888888888888877,0.0357142857142857,
