dataset,situation,n_users,dev_median,wilcoxon_p,ci_lo,ci_hi,note
ml1m,0,856,0.0,0.5446054421785699,-0.0012880745438885177,0.014682412027310939,
ml1m,1,1697,-0.008010662177328848,5.465100532310768e-06,-0.014705882352941124,0.0,
ml1m,2,488,0.012113546629478007,0.028646704741836698,0.0,0.03284611267752713,
ml1m,3,1849,0.0,0.06988554237169625,-0.004375804375804364,0.004761904761904745,
ml1m,4,993,0.0,0.11159287882813076,-0.011934156378600819,0.003030303030303022,
