dataset,n,seed,arm,kappa,K,eps,n_req,n_users,macroCatMRR,CatMRR,HR20,NDCG20
ml1m,all,44,SIT,0.1,5,0.03,97199,6040,0.1534875316110991,0.41319564378601803,0.0874083066698217,0.032870191245312125
ml1m,all,44,PERM,0.1,5,0.03,97199,6040,0.13451655524627532,0.36121242020661426,0.07499048344118767,0.028654505013783426
ml1m,all,45,BASE,0.1,5,0.03,97199,6040,0.14043699845217558,0.39542786182094464,0.083241597135773,0.031225795249636683
ml1m,all,45,PRIOR,0.1,5,0.03,97199,6040,0.14487911776954468,0.38559315009380773,0.08359139497319931,0.03140484659773543
ml1m,all,45,SIT,0.1,5,0.03,97199,6040,0.15348714364867588,0.4131913931203665,0.0873980184981327,0.03286705365546262
ml1m,all,45,PERM,0.1,5,0.03,97199,6040,0.13362088585310986,0.3598068771807695,0.07459953291700532,0.028361486108010977
ml1m,all,46,BASE,0.1,5,0.03,97199,6040,0.14043699845217558,0.39542786182094464,0.083241597135773,0.031225795249636683
ml1m,all,46,PRIOR,0.1,5,0.03,97199,6040,0.1448793171856287,0.3855929320221454,0.08359139497319931,0.03140480291858586
ml1m,all,46,SIT,0.1,5,0.03,97199,6040,0.15348696272719897,0.4131953667967803,0.0874083066698217,0.03286995403092991
ml1m,all,46,PERM,0.1,5,0.03,97199,6040,0.13307824060460866,0.36025979494927224,0.07542258665212605,0.02867203753266554
